time,original_idx,date,sensor,state,activity,marker,datetime,activity_full,activity_list,num_activities,activity_list_str,first_activity,sensor_data_type,is_numeric,first_activity_l2,sensor_location,date_col,hour,part_of_day,dow,sensor_reading,time_delta,daily_subgroup,bucket_number,x,y,value,label_first,label_list,cluster_id,cluster_sample_id
1,150801,2011-04-19 17:42:18.522858,M009,ON,,,2011-04-19 17:42:18.522858,,[],0,,no_activity,str,False,No_Activity,"[537, 339]",2011-04-19,17,evening,tue,M009_ON,0 days 00:00:04.302987,4,0,537,339,1,no_activity,[],18,4
2,150803,2011-04-19 17:42:23.711416,M009,ON,,,2011-04-19 17:42:23.711416,,[],0,,no_activity,str,False,No_Activity,"[537, 339]",2011-04-19,17,evening,tue,M009_ON,0 days 00:00:02.786251,4,0,537,339,1,no_activity,[],18,4
3,150805,2011-04-19 17:42:53.189066,M024,ON,,,2011-04-19 17:42:53.189066,,[],0,,no_activity,str,False,No_Activity,"[1224, 580]",2011-04-19,17,evening,tue,M024_ON,0 days 00:00:28.451018,4,0,1224,580,1,no_activity,[],18,4
4,150807,2011-04-19 17:42:55.54812,M024,ON,,,2011-04-19 17:42:55.548120,,[],0,,no_activity,str,False,No_Activity,"[1224, 580]",2011-04-19,17,evening,tue,M024_ON,0 days 00:00:00.372760,4,0,1224,580,1,no_activity,[],18,4
5,150809,2011-04-19 17:43:12.294364,M010,ON,,,2011-04-19 17:43:12.294364,,[],0,,no_activity,str,False,No_Activity,"[537, 221]",2011-04-19,17,evening,tue,M010_ON,0 days 00:00:06.429004,4,0,537,221,1,no_activity,[],18,4
6,150810,2011-04-19 17:43:12.687939,M024,ON,,,2011-04-19 17:43:12.687939,,[],0,,no_activity,str,False,No_Activity,"[1224, 580]",2011-04-19,17,evening,tue,M024_ON,0 days 00:00:00.393575,4,0,1224,580,1,no_activity,[],18,4
7,150812,2011-04-19 17:43:15.929665,M010,ON,,,2011-04-19 17:43:15.929665,,[],0,,no_activity,str,False,No_Activity,"[537, 221]",2011-04-19,17,evening,tue,M010_ON,0 days 00:00:01.060974,4,0,537,221,1,no_activity,[],18,4
8,150814,2011-04-19 17:43:19.812751,M010,ON,,,2011-04-19 17:43:19.812751,,[],0,,no_activity,str,False,No_Activity,"[537, 221]",2011-04-19,17,evening,tue,M010_ON,0 days 00:00:02.110689,4,0,537,221,1,no_activity,[],18,4
9,150815,2011-04-19 17:43:19.906614,M009,ON,,,2011-04-19 17:43:19.906614,,[],0,,no_activity,str,False,No_Activity,"[537, 339]",2011-04-19,17,evening,tue,M009_ON,0 days 00:00:00.093863,4,0,537,339,1,no_activity,[],18,4
10,150819,2011-04-19 17:44:01.052353,M024,ON,,,2011-04-19 17:44:01.052353,,[],0,,no_activity,str,False,No_Activity,"[1224, 580]",2011-04-19,17,evening,tue,M024_ON,0 days 00:00:34.531721,4,0,1224,580,1,no_activity,[],18,4
