time,original_idx,date,sensor,state,activity,marker,datetime,activity_full,activity_list,num_activities,activity_list_str,first_activity,sensor_data_type,is_numeric,first_activity_l2,sensor_location,date_col,hour,part_of_day,dow,sensor_reading,time_delta,daily_subgroup,bucket_number,x,y,value,label_first,label_list,cluster_id,cluster_sample_id
1,131175,2011-04-17 15:31:57.817327,M016,ON,,,2011-04-17 15:31:57.817327,,[],0,,no_activity,str,False,No_Activity,"[449, 937]",2011-04-17,15,afternoon,sun,M016_ON,0 days 00:00:05.168908,4,0,449,937,1,no_activity,[],10,1
2,131177,2011-04-17 15:31:58.325503,M019,ON,,,2011-04-17 15:31:58.325503,,[],0,,no_activity,str,False,No_Activity,"[345, 806]",2011-04-17,15,afternoon,sun,M019_ON,0 days 00:00:00.075358,4,0,345,806,1,no_activity,[],10,1
3,131179,2011-04-17 15:32:20.208929,M019,ON,,,2011-04-17 15:32:20.208929,,[],0,,no_activity,str,False,No_Activity,"[345, 806]",2011-04-17,15,afternoon,sun,M019_ON,0 days 00:00:20.415985,4,0,345,806,1,no_activity,[],10,1
4,131181,2011-04-17 15:32:29.981481,M019,ON,,,2011-04-17 15:32:29.981481,,[],0,,no_activity,str,False,No_Activity,"[345, 806]",2011-04-17,15,afternoon,sun,M019_ON,0 days 00:00:03.609128,4,0,345,806,1,no_activity,[],10,1
5,131183,2011-04-17 15:32:42.319845,M019,ON,,,2011-04-17 15:32:42.319845,,[],0,,no_activity,str,False,No_Activity,"[345, 806]",2011-04-17,15,afternoon,sun,M019_ON,0 days 00:00:10.119806,4,0,345,806,1,no_activity,[],10,1
6,131184,2011-04-17 15:32:45.78744,M015,ON,,,2011-04-17 15:32:45.787440,,[],0,,no_activity,str,False,No_Activity,"[231, 770]",2011-04-17,15,afternoon,sun,M015_ON,0 days 00:00:03.467595,4,0,231,770,1,no_activity,[],10,1
7,131185,2011-04-17 15:32:47.751014,M018,ON,,,2011-04-17 15:32:47.751014,,[],0,,no_activity,str,False,No_Activity,"[477, 743]",2011-04-17,15,afternoon,sun,M018_ON,0 days 00:00:01.963574,4,0,477,743,1,no_activity,[],10,1
8,131188,2011-04-17 15:32:51.51894,M014,ON,,,2011-04-17 15:32:51.518940,,[],0,,no_activity,str,False,No_Activity,"[338, 614]",2011-04-17,15,afternoon,sun,M014_ON,0 days 00:00:00.950374,4,0,338,614,1,no_activity,[],10,1
9,131189,2011-04-17 15:32:52.358937,M020,ON,,,2011-04-17 15:32:52.358937,,[],0,,no_activity,str,False,No_Activity,"[377, 359]",2011-04-17,15,afternoon,sun,M020_ON,0 days 00:00:00.839997,4,0,377,359,1,no_activity,[],10,1
10,131192,2011-04-17 15:32:53.561249,M013,ON,,,2011-04-17 15:32:53.561249,,[],0,,no_activity,str,False,No_Activity,"[310, 410]",2011-04-17,15,afternoon,sun,M013_ON,0 days 00:00:00.609242,4,0,310,410,1,no_activity,[],10,1
11,131193,2011-04-17 15:32:58.091768,M009,ON,Relax,begin,2011-04-17 15:32:58.091768,Relax begin,['Relax'],1,Relax,Relax,str,False,Relax,"[537, 339]",2011-04-17,15,afternoon,sun,M009_ON,0 days 00:00:04.530519,4,0,537,339,1,Relax,['Relax'],10,1
