time,original_idx,date,sensor,state,activity,marker,datetime,activity_full,activity_list,num_activities,activity_list_str,first_activity,sensor_data_type,is_numeric,first_activity_l2,sensor_location,date_col,hour,part_of_day,dow,sensor_reading,time_delta,daily_subgroup,bucket_number,x,y,value,label_first,label_list,cluster_id,cluster_sample_id
1,170619,2011-04-22 22:03:12.106519,M020,OFF,,,2011-04-22 22:03:12.106519,,[],0,,no_activity,str,False,No_Activity,"[377, 359]",2011-04-22,22,night_before_midnight,fri,M020_OFF,0 days 00:00:00.068380,6,0,377,359,1,no_activity,[],6,2
2,170620,2011-04-22 22:03:14.936101,M014,ON,,,2011-04-22 22:03:14.936101,,[],0,,no_activity,str,False,No_Activity,"[338, 614]",2011-04-22,22,night_before_midnight,fri,M014_ON,0 days 00:00:02.829582,6,0,338,614,1,no_activity,[],6,2
3,170621,2011-04-22 22:03:15.535891,M020,ON,,,2011-04-22 22:03:15.535891,,[],0,,no_activity,str,False,No_Activity,"[377, 359]",2011-04-22,22,night_before_midnight,fri,M020_ON,0 days 00:00:00.599790,6,0,377,359,1,no_activity,[],6,2
4,170622,2011-04-22 22:03:16.158941,M014,OFF,,,2011-04-22 22:03:16.158941,,[],0,,no_activity,str,False,No_Activity,"[338, 614]",2011-04-22,22,night_before_midnight,fri,M014_OFF,0 days 00:00:00.623050,6,0,338,614,1,no_activity,[],6,2
5,170623,2011-04-22 22:03:16.986168,M018,OFF,,,2011-04-22 22:03:16.986168,,[],0,,no_activity,str,False,No_Activity,"[477, 743]",2011-04-22,22,night_before_midnight,fri,M018_OFF,0 days 00:00:00.827227,6,0,477,743,1,no_activity,[],6,2
6,170624,2011-04-22 22:03:17.579103,M013,ON,,,2011-04-22 22:03:17.579103,,[],0,,no_activity,str,False,No_Activity,"[310, 410]",2011-04-22,22,night_before_midnight,fri,M013_ON,0 days 00:00:00.592935,6,0,310,410,1,no_activity,[],6,2
7,170625,2011-04-22 22:03:19.3188,M009,ON,Relax,begin,2011-04-22 22:03:19.318800,Relax begin,['Relax'],1,Relax,Relax,str,False,Relax,"[537, 339]",2011-04-22,22,night_before_midnight,fri,M009_ON,0 days 00:00:01.739697,6,0,537,339,1,Relax,['Relax'],6,2
8,170626,2011-04-22 22:03:22.108986,M013,OFF,,,2011-04-22 22:03:22.108986,,['Relax'],1,Relax,Relax,str,False,Relax,"[310, 410]",2011-04-22,22,night_before_midnight,fri,M013_OFF,0 days 00:00:02.790186,6,0,310,410,1,Relax,['Relax'],6,2
9,170627,2011-04-22 22:03:22.721916,M020,OFF,,,2011-04-22 22:03:22.721916,,['Relax'],1,Relax,Relax,str,False,Relax,"[377, 359]",2011-04-22,22,night_before_midnight,fri,M020_OFF,0 days 00:00:00.612930,6,0,377,359,1,Relax,['Relax'],6,2
10,170628,2011-04-22 22:03:23.549156,M009,OFF,,,2011-04-22 22:03:23.549156,,['Relax'],1,Relax,Relax,str,False,Relax,"[537, 339]",2011-04-22,22,night_before_midnight,fri,M009_OFF,0 days 00:00:00.827240,6,0,537,339,1,Relax,['Relax'],6,2
11,170629,2011-04-22 22:03:24.372931,M009,ON,,,2011-04-22 22:03:24.372931,,['Relax'],1,Relax,Relax,str,False,Relax,"[537, 339]",2011-04-22,22,night_before_midnight,fri,M009_ON,0 days 00:00:00.823775,6,0,537,339,1,Relax,['Relax'],6,2
12,170630,2011-04-22 22:03:29.150223,M009,OFF,,,2011-04-22 22:03:29.150223,,['Relax'],1,Relax,Relax,str,False,Relax,"[537, 339]",2011-04-22,22,night_before_midnight,fri,M009_OFF,0 days 00:00:04.777292,6,0,537,339,1,Relax,['Relax'],6,2
13,170631,2011-04-22 22:03:44.917441,M009,ON,,,2011-04-22 22:03:44.917441,,['Relax'],1,Relax,Relax,str,False,Relax,"[537, 339]",2011-04-22,22,night_before_midnight,fri,M009_ON,0 days 00:00:15.767218,6,0,537,339,1,Relax,['Relax'],6,2
14,170632,2011-04-22 22:03:46.626157,M009,OFF,,,2011-04-22 22:03:46.626157,,['Relax'],1,Relax,Relax,str,False,Relax,"[537, 339]",2011-04-22,22,night_before_midnight,fri,M009_OFF,0 days 00:00:01.708716,6,0,537,339,1,Relax,['Relax'],6,2
15,170633,2011-04-22 22:03:47.468857,M009,ON,,,2011-04-22 22:03:47.468857,,['Relax'],1,Relax,Relax,str,False,Relax,"[537, 339]",2011-04-22,22,night_before_midnight,fri,M009_ON,0 days 00:00:00.842700,6,0,537,339,1,Relax,['Relax'],6,2
16,170634,2011-04-22 22:03:50.82172,M009,OFF,,,2011-04-22 22:03:50.821720,,['Relax'],1,Relax,Relax,str,False,Relax,"[537, 339]",2011-04-22,22,night_before_midnight,fri,M009_OFF,0 days 00:00:03.352863,6,0,537,339,1,Relax,['Relax'],6,2
17,170635,2011-04-22 22:03:51.902216,M009,ON,,,2011-04-22 22:03:51.902216,,['Relax'],1,Relax,Relax,str,False,Relax,"[537, 339]",2011-04-22,22,night_before_midnight,fri,M009_ON,0 days 00:00:01.080496,6,0,537,339,1,Relax,['Relax'],6,2
18,170636,2011-04-22 22:03:53.637009,M009,OFF,,,2011-04-22 22:03:53.637009,,['Relax'],1,Relax,Relax,str,False,Relax,"[537, 339]",2011-04-22,22,night_before_midnight,fri,M009_OFF,0 days 00:00:01.734793,6,0,537,339,1,Relax,['Relax'],6,2
19,170637,2011-04-22 22:04:09.216337,M009,ON,,,2011-04-22 22:04:09.216337,,['Relax'],1,Relax,Relax,str,False,Relax,"[537, 339]",2011-04-22,22,night_before_midnight,fri,M009_ON,0 days 00:00:15.579328,6,0,537,339,1,Relax,['Relax'],6,2
20,170638,2011-04-22 22:04:10.487862,M009,OFF,,,2011-04-22 22:04:10.487862,,['Relax'],1,Relax,Relax,str,False,Relax,"[537, 339]",2011-04-22,22,night_before_midnight,fri,M009_OFF,0 days 00:00:01.271525,6,0,537,339,1,Relax,['Relax'],6,2
