time,original_idx,date,sensor,state,activity,marker,datetime,activity_full,activity_list,num_activities,activity_list_str,first_activity,sensor_data_type,is_numeric,first_activity_l2,sensor_location,date_col,hour,part_of_day,dow,sensor_reading,time_delta,daily_subgroup,bucket_number,x,y,value,label_first,label_list,cluster_id,cluster_sample_id
1,95909,2011-04-13 21:52:28.233636,M007,OFF,,,2011-04-13 21:52:28.233636,,[],0,,no_activity,str,False,No_Activity,"[963, 271]",2011-04-13,21,night_before_midnight,wed,M007_OFF,0 days 00:00:02.150013,4,0,963,271,1,no_activity,[],19,2
2,95910,2011-04-13 21:52:29.295952,M003,OFF,,,2011-04-13 21:52:29.295952,,[],0,,no_activity,str,False,No_Activity,"[785, 262]",2011-04-13,21,night_before_midnight,wed,M003_OFF,0 days 00:00:01.062316,4,0,785,262,1,no_activity,[],19,2
3,95911,2011-04-13 21:52:30.345168,M003,ON,,,2011-04-13 21:52:30.345168,,[],0,,no_activity,str,False,No_Activity,"[785, 262]",2011-04-13,21,night_before_midnight,wed,M003_ON,0 days 00:00:01.049216,4,0,785,262,1,no_activity,[],19,2
4,95912,2011-04-13 21:52:33.748392,M007,ON,,,2011-04-13 21:52:33.748392,,[],0,,no_activity,str,False,No_Activity,"[963, 271]",2011-04-13,21,night_before_midnight,wed,M007_ON,0 days 00:00:03.403224,4,0,963,271,1,no_activity,[],19,2
5,95913,2011-04-13 21:52:35.05527,M007,OFF,,,2011-04-13 21:52:35.055270,,[],0,,no_activity,str,False,No_Activity,"[963, 271]",2011-04-13,21,night_before_midnight,wed,M007_OFF,0 days 00:00:01.306878,4,0,963,271,1,no_activity,[],19,2
6,95914,2011-04-13 21:52:37.062908,M003,OFF,,,2011-04-13 21:52:37.062908,,[],0,,no_activity,str,False,No_Activity,"[785, 262]",2011-04-13,21,night_before_midnight,wed,M003_OFF,0 days 00:00:02.007638,4,0,785,262,1,no_activity,[],19,2
7,95915,2011-04-13 21:52:40.447758,M003,ON,,,2011-04-13 21:52:40.447758,,[],0,,no_activity,str,False,No_Activity,"[785, 262]",2011-04-13,21,night_before_midnight,wed,M003_ON,0 days 00:00:03.384850,4,0,785,262,1,no_activity,[],19,2
8,95916,2011-04-13 21:52:41.261871,M007,ON,,,2011-04-13 21:52:41.261871,,[],0,,no_activity,str,False,No_Activity,"[963, 271]",2011-04-13,21,night_before_midnight,wed,M007_ON,0 days 00:00:00.814113,4,0,963,271,1,no_activity,[],19,2
9,95917,2011-04-13 21:52:44.169411,M003,OFF,,,2011-04-13 21:52:44.169411,,[],0,,no_activity,str,False,No_Activity,"[785, 262]",2011-04-13,21,night_before_midnight,wed,M003_OFF,0 days 00:00:02.907540,4,0,785,262,1,no_activity,[],19,2
10,95918,2011-04-13 21:52:44.773384,M007,OFF,,,2011-04-13 21:52:44.773384,,[],0,,no_activity,str,False,No_Activity,"[963, 271]",2011-04-13,21,night_before_midnight,wed,M007_OFF,0 days 00:00:00.603973,4,0,963,271,1,no_activity,[],19,2
11,95919,2011-04-13 21:52:45.149793,M003,ON,,,2011-04-13 21:52:45.149793,,[],0,,no_activity,str,False,No_Activity,"[785, 262]",2011-04-13,21,night_before_midnight,wed,M003_ON,0 days 00:00:00.376409,4,0,785,262,1,no_activity,[],19,2
12,95920,2011-04-13 21:52:46.309681,M003,OFF,,,2011-04-13 21:52:46.309681,,[],0,,no_activity,str,False,No_Activity,"[785, 262]",2011-04-13,21,night_before_midnight,wed,M003_OFF,0 days 00:00:01.159888,4,0,785,262,1,no_activity,[],19,2
13,95921,2011-04-13 21:52:50.355949,M003,ON,,,2011-04-13 21:52:50.355949,,[],0,,no_activity,str,False,No_Activity,"[785, 262]",2011-04-13,21,night_before_midnight,wed,M003_ON,0 days 00:00:04.046268,4,0,785,262,1,no_activity,[],19,2
14,95922,2011-04-13 21:52:52.000415,M003,OFF,,,2011-04-13 21:52:52.000415,,[],0,,no_activity,str,False,No_Activity,"[785, 262]",2011-04-13,21,night_before_midnight,wed,M003_OFF,0 days 00:00:01.644466,4,0,785,262,1,no_activity,[],19,2
15,95923,2011-04-13 21:53:00.201031,M003,ON,,,2011-04-13 21:53:00.201031,,[],0,,no_activity,str,False,No_Activity,"[785, 262]",2011-04-13,21,night_before_midnight,wed,M003_ON,0 days 00:00:08.200616,4,0,785,262,1,no_activity,[],19,2
16,95924,2011-04-13 21:53:02.630801,M003,OFF,,,2011-04-13 21:53:02.630801,,[],0,,no_activity,str,False,No_Activity,"[785, 262]",2011-04-13,21,night_before_midnight,wed,M003_OFF,0 days 00:00:02.429770,4,0,785,262,1,no_activity,[],19,2
17,95925,2011-04-13 21:53:38.30769,M003,ON,,,2011-04-13 21:53:38.307690,,[],0,,no_activity,str,False,No_Activity,"[785, 262]",2011-04-13,21,night_before_midnight,wed,M003_ON,0 days 00:00:35.676889,4,0,785,262,1,no_activity,[],19,2
18,95926,2011-04-13 21:53:40.26891,M003,OFF,,,2011-04-13 21:53:40.268910,,[],0,,no_activity,str,False,No_Activity,"[785, 262]",2011-04-13,21,night_before_midnight,wed,M003_OFF,0 days 00:00:01.961220,4,0,785,262,1,no_activity,[],19,2
19,95927,2011-04-13 21:54:04.847606,M003,ON,,,2011-04-13 21:54:04.847606,,[],0,,no_activity,str,False,No_Activity,"[785, 262]",2011-04-13,21,night_before_midnight,wed,M003_ON,0 days 00:00:24.578696,4,0,785,262,1,no_activity,[],19,2
20,95928,2011-04-13 21:54:09.644185,M003,OFF,,,2011-04-13 21:54:09.644185,,[],0,,no_activity,str,False,No_Activity,"[785, 262]",2011-04-13,21,night_before_midnight,wed,M003_OFF,0 days 00:00:04.796579,4,0,785,262,1,no_activity,[],19,2
