time,original_idx,date,sensor,state,activity,marker,datetime,activity_full,activity_list,num_activities,activity_list_str,first_activity,sensor_data_type,is_numeric,first_activity_l2,sensor_location,date_col,hour,part_of_day,dow,sensor_reading,time_delta,daily_subgroup,bucket_number,x,y,value,label_first,label_list,cluster_id,cluster_sample_id
1,12325,2011-04-02 18:45:30.441271,M019,ON,,,2011-04-02 18:45:30.441271,,"['Meal_Preparation', 'Relax']",2,"Meal_Preparation, Relax",Meal_Preparation,str,False,Cook,"[345, 806]",2011-04-02,18,evening,sat,M019_ON,0 days 00:00:00.370531,6,0,345,806,1,Meal_Preparation,"['Meal_Preparation', 'Relax']",3,1
2,12326,2011-04-02 18:45:31.040473,M015,ON,,,2011-04-02 18:45:31.040473,,"['Meal_Preparation', 'Relax']",2,"Meal_Preparation, Relax",Meal_Preparation,str,False,Cook,"[231, 770]",2011-04-02,18,evening,sat,M015_ON,0 days 00:00:00.599202,6,0,231,770,1,Meal_Preparation,"['Meal_Preparation', 'Relax']",3,1
3,12327,2011-04-02 18:45:31.872272,M009,OFF,,,2011-04-02 18:45:31.872272,,"['Meal_Preparation', 'Relax']",2,"Meal_Preparation, Relax",Meal_Preparation,str,False,Cook,"[537, 339]",2011-04-02,18,evening,sat,M009_OFF,0 days 00:00:00.831799,6,0,537,339,1,Meal_Preparation,"['Meal_Preparation', 'Relax']",3,1
4,12328,2011-04-02 18:45:32.24392,M009,ON,,,2011-04-02 18:45:32.243920,,"['Meal_Preparation', 'Relax']",2,"Meal_Preparation, Relax",Meal_Preparation,str,False,Cook,"[537, 339]",2011-04-02,18,evening,sat,M009_ON,0 days 00:00:00.371648,6,0,537,339,1,Meal_Preparation,"['Meal_Preparation', 'Relax']",3,1
5,12329,2011-04-02 18:45:33.080735,M016,ON,,,2011-04-02 18:45:33.080735,,"['Meal_Preparation', 'Relax']",2,"Meal_Preparation, Relax",Meal_Preparation,str,False,Cook,"[449, 937]",2011-04-02,18,evening,sat,M016_ON,0 days 00:00:00.836815,6,0,449,937,1,Meal_Preparation,"['Meal_Preparation', 'Relax']",3,1
6,12330,2011-04-02 18:45:33.709328,M015,OFF,,,2011-04-02 18:45:33.709328,,"['Meal_Preparation', 'Relax']",2,"Meal_Preparation, Relax",Meal_Preparation,str,False,Cook,"[231, 770]",2011-04-02,18,evening,sat,M015_OFF,0 days 00:00:00.628593,6,0,231,770,1,Meal_Preparation,"['Meal_Preparation', 'Relax']",3,1
7,12331,2011-04-02 18:45:34.528422,M019,OFF,,,2011-04-02 18:45:34.528422,,"['Meal_Preparation', 'Relax']",2,"Meal_Preparation, Relax",Meal_Preparation,str,False,Cook,"[345, 806]",2011-04-02,18,evening,sat,M019_OFF,0 days 00:00:00.819094,6,0,345,806,1,Meal_Preparation,"['Meal_Preparation', 'Relax']",3,1
8,12332,2011-04-02 18:45:35.600997,M009,OFF,,,2011-04-02 18:45:35.600997,,"['Meal_Preparation', 'Relax']",2,"Meal_Preparation, Relax",Meal_Preparation,str,False,Cook,"[537, 339]",2011-04-02,18,evening,sat,M009_OFF,0 days 00:00:01.072575,6,0,537,339,1,Meal_Preparation,"['Meal_Preparation', 'Relax']",3,1
9,12333,2011-04-02 18:45:39.911308,M019,ON,,,2011-04-02 18:45:39.911308,,"['Meal_Preparation', 'Relax']",2,"Meal_Preparation, Relax",Meal_Preparation,str,False,Cook,"[345, 806]",2011-04-02,18,evening,sat,M019_ON,0 days 00:00:04.310311,6,0,345,806,1,Meal_Preparation,"['Meal_Preparation', 'Relax']",3,1
10,12334,2011-04-02 18:45:40.768528,M015,ON,,,2011-04-02 18:45:40.768528,,"['Meal_Preparation', 'Relax']",2,"Meal_Preparation, Relax",Meal_Preparation,str,False,Cook,"[231, 770]",2011-04-02,18,evening,sat,M015_ON,0 days 00:00:00.857220,6,0,231,770,1,Meal_Preparation,"['Meal_Preparation', 'Relax']",3,1
11,12335,2011-04-02 18:45:43.561372,M016,OFF,,,2011-04-02 18:45:43.561372,,"['Meal_Preparation', 'Relax']",2,"Meal_Preparation, Relax",Meal_Preparation,str,False,Cook,"[449, 937]",2011-04-02,18,evening,sat,M016_OFF,0 days 00:00:02.792844,6,0,449,937,1,Meal_Preparation,"['Meal_Preparation', 'Relax']",3,1
12,12336,2011-04-02 18:45:45.968954,M015,OFF,,,2011-04-02 18:45:45.968954,,"['Meal_Preparation', 'Relax']",2,"Meal_Preparation, Relax",Meal_Preparation,str,False,Cook,"[231, 770]",2011-04-02,18,evening,sat,M015_OFF,0 days 00:00:02.407582,6,0,231,770,1,Meal_Preparation,"['Meal_Preparation', 'Relax']",3,1
13,12337,2011-04-02 18:45:47.819093,M019,OFF,,,2011-04-02 18:45:47.819093,,"['Meal_Preparation', 'Relax']",2,"Meal_Preparation, Relax",Meal_Preparation,str,False,Cook,"[345, 806]",2011-04-02,18,evening,sat,M019_OFF,0 days 00:00:01.850139,6,0,345,806,1,Meal_Preparation,"['Meal_Preparation', 'Relax']",3,1
14,12338,2011-04-02 18:45:53.479284,M015,ON,,,2011-04-02 18:45:53.479284,,"['Meal_Preparation', 'Relax']",2,"Meal_Preparation, Relax",Meal_Preparation,str,False,Cook,"[231, 770]",2011-04-02,18,evening,sat,M015_ON,0 days 00:00:05.660191,6,0,231,770,1,Meal_Preparation,"['Meal_Preparation', 'Relax']",3,1
15,12339,2011-04-02 18:45:53.862635,M019,ON,,,2011-04-02 18:45:53.862635,,"['Meal_Preparation', 'Relax']",2,"Meal_Preparation, Relax",Meal_Preparation,str,False,Cook,"[345, 806]",2011-04-02,18,evening,sat,M019_ON,0 days 00:00:00.383351,6,0,345,806,1,Meal_Preparation,"['Meal_Preparation', 'Relax']",3,1
16,12340,2011-04-02 18:45:57.385203,M017,ON,,,2011-04-02 18:45:57.385203,,"['Meal_Preparation', 'Relax']",2,"Meal_Preparation, Relax",Meal_Preparation,str,False,Cook,"[457, 873]",2011-04-02,18,evening,sat,M017_ON,0 days 00:00:03.522568,6,0,457,873,1,Meal_Preparation,"['Meal_Preparation', 'Relax']",3,1
17,12341,2011-04-02 18:45:57.4509,M018,ON,,,2011-04-02 18:45:57.450900,,"['Meal_Preparation', 'Relax']",2,"Meal_Preparation, Relax",Meal_Preparation,str,False,Cook,"[477, 743]",2011-04-02,18,evening,sat,M018_ON,0 days 00:00:00.065697,6,0,477,743,1,Meal_Preparation,"['Meal_Preparation', 'Relax']",3,1
18,12342,2011-04-02 18:45:57.884495,M015,OFF,,,2011-04-02 18:45:57.884495,,"['Meal_Preparation', 'Relax']",2,"Meal_Preparation, Relax",Meal_Preparation,str,False,Cook,"[231, 770]",2011-04-02,18,evening,sat,M015_OFF,0 days 00:00:00.433595,6,0,231,770,1,Meal_Preparation,"['Meal_Preparation', 'Relax']",3,1
19,12343,2011-04-02 18:45:58.85018,M019,OFF,,,2011-04-02 18:45:58.850180,,"['Meal_Preparation', 'Relax']",2,"Meal_Preparation, Relax",Meal_Preparation,str,False,Cook,"[345, 806]",2011-04-02,18,evening,sat,M019_OFF,0 days 00:00:00.965685,6,0,345,806,1,Meal_Preparation,"['Meal_Preparation', 'Relax']",3,1
20,12344,2011-04-02 18:46:00.955174,M017,OFF,,,2011-04-02 18:46:00.955174,,"['Meal_Preparation', 'Relax']",2,"Meal_Preparation, Relax",Meal_Preparation,str,False,Cook,"[457, 873]",2011-04-02,18,evening,sat,M017_OFF,0 days 00:00:02.104994,6,0,457,873,1,Meal_Preparation,"['Meal_Preparation', 'Relax']",3,1
