time,original_idx,date,sensor,state,activity_full,datetime,activity,marker,activity_list,num_activities,activity_list_str,first_activity,sensor_data_type,is_numeric,first_activity_l2,sensor_location,activity_list_R1,first_activity_R1,activity_list_R2,first_activity_R2,date_col,hour,part_of_day,dow,sensor_reading,time_delta,daily_subgroup,bucket_number,x,y,value,label_first,label_list,cluster_id,cluster_sample_id
1,28766,2009-07-26 06:08:01.013783,M005,ON,,2009-07-26 06:08:01.013783,,,['R1 wake'],1,R1 wake,R1 wake,str,False,Other,"[2489, 2197]",['R1 wake'],R1 wake,[],no_activity,2009-07-26,6,early_morning,sun,M005_ON,0 days 00:00:00.926929,5,0,2489,2197,1,R1 wake,['R1 wake'],3,0
2,28767,2009-07-26 06:08:02.058921,M006,OFF,,2009-07-26 06:08:02.058921,,,['R1 wake'],1,R1 wake,R1 wake,str,False,Other,"[1963, 1960]",['R1 wake'],R1 wake,[],no_activity,2009-07-26,6,early_morning,sun,M006_OFF,0 days 00:00:01.045138,5,0,1963,1960,1,R1 wake,['R1 wake'],3,0
3,28768,2009-07-26 06:08:03.028472,M005,OFF,,2009-07-26 06:08:03.028472,,,['R1 wake'],1,R1 wake,R1 wake,str,False,Other,"[2489, 2197]",['R1 wake'],R1 wake,[],no_activity,2009-07-26,6,early_morning,sun,M005_OFF,0 days 00:00:00.969551,5,0,2489,2197,1,R1 wake,['R1 wake'],3,0
4,28769,2009-07-26 06:08:03.085247,M005,ON,,2009-07-26 06:08:03.085247,,,['R1 wake'],1,R1 wake,R1 wake,str,False,Other,"[2489, 2197]",['R1 wake'],R1 wake,[],no_activity,2009-07-26,6,early_morning,sun,M005_ON,0 days 00:00:00.056775,5,0,2489,2197,1,R1 wake,['R1 wake'],3,0
5,28770,2009-07-26 06:08:05.089904,M007,ON,,2009-07-26 06:08:05.089904,,,['R1 wake'],1,R1 wake,R1 wake,str,False,Other,"[1970, 2369]",['R1 wake'],R1 wake,[],no_activity,2009-07-26,6,early_morning,sun,M007_ON,0 days 00:00:02.004657,5,0,1970,2369,1,R1 wake,['R1 wake'],3,0
6,28771,2009-07-26 06:08:09.007326,M007,OFF,,2009-07-26 06:08:09.007326,,,['R1 wake'],1,R1 wake,R1 wake,str,False,Other,"[1970, 2369]",['R1 wake'],R1 wake,[],no_activity,2009-07-26,6,early_morning,sun,M007_OFF,0 days 00:00:03.917422,5,0,1970,2369,1,R1 wake,['R1 wake'],3,0
7,28772,2009-07-26 06:08:11.094074,M007,ON,,2009-07-26 06:08:11.094074,,,['R1 wake'],1,R1 wake,R1 wake,str,False,Other,"[1970, 2369]",['R1 wake'],R1 wake,[],no_activity,2009-07-26,6,early_morning,sun,M007_ON,0 days 00:00:02.086748,5,0,1970,2369,1,R1 wake,['R1 wake'],3,0
8,28773,2009-07-26 06:08:15.074903,M005,OFF,,2009-07-26 06:08:15.074903,,,['R1 wake'],1,R1 wake,R1 wake,str,False,Other,"[2489, 2197]",['R1 wake'],R1 wake,[],no_activity,2009-07-26,6,early_morning,sun,M005_OFF,0 days 00:00:03.980829,5,0,2489,2197,1,R1 wake,['R1 wake'],3,0
9,28774,2009-07-26 06:08:16.011957,M007,OFF,,2009-07-26 06:08:16.011957,,,['R1 wake'],1,R1 wake,R1 wake,str,False,Other,"[1970, 2369]",['R1 wake'],R1 wake,[],no_activity,2009-07-26,6,early_morning,sun,M007_OFF,0 days 00:00:00.937054,5,0,1970,2369,1,R1 wake,['R1 wake'],3,0
10,28775,2009-07-26 06:08:17.077447,M005,ON,,2009-07-26 06:08:17.077447,,,['R1 wake'],1,R1 wake,R1 wake,str,False,Other,"[2489, 2197]",['R1 wake'],R1 wake,[],no_activity,2009-07-26,6,early_morning,sun,M005_ON,0 days 00:00:01.065490,5,0,2489,2197,1,R1 wake,['R1 wake'],3,0
