time,original_idx,date,sensor,state,activity_full,datetime,activity,marker,activity_list,num_activities,activity_list_str,first_activity,sensor_data_type,is_numeric,first_activity_l2,sensor_location,activity_list_R1,first_activity_R1,activity_list_R2,first_activity_R2,date_col,hour,part_of_day,dow,sensor_reading,time_delta,daily_subgroup,bucket_number,x,y,value,label_first,label_list,cluster_id,cluster_sample_id
1,73354,2009-07-30 08:31:01.054491,M024,ON,,2009-07-30 08:31:01.054491,,,['Breakfast'],1,Breakfast,Breakfast,str,False,Eat,"[149, 1924]",[],no_activity,[],no_activity,2009-07-30,8,late_morning,thu,M024_ON,0 days 00:00:02.045359,4,0,149,1924,1,Breakfast,['Breakfast'],4,4
2,73357,2009-07-30 08:31:10.077226,M024,ON,,2009-07-30 08:31:10.077226,,,['Breakfast'],1,Breakfast,Breakfast,str,False,Eat,"[149, 1924]",[],no_activity,[],no_activity,2009-07-30,8,late_morning,thu,M024_ON,0 days 00:00:03.999384,4,0,149,1924,1,Breakfast,['Breakfast'],4,4
3,73359,2009-07-30 08:31:15.015494,M024,ON,,2009-07-30 08:31:15.015494,,,['Breakfast'],1,Breakfast,Breakfast,str,False,Eat,"[149, 1924]",[],no_activity,[],no_activity,2009-07-30,8,late_morning,thu,M024_ON,0 days 00:00:02.996642,4,0,149,1924,1,Breakfast,['Breakfast'],4,4
4,73361,2009-07-30 08:31:17.047954,M021,ON,,2009-07-30 08:31:17.047954,,,['Breakfast'],1,Breakfast,Breakfast,str,False,Eat,"[1003, 1788]",[],no_activity,[],no_activity,2009-07-30,8,late_morning,thu,M021_ON,0 days 00:00:00.027821,4,0,1003,1788,1,Breakfast,['Breakfast'],4,4
5,73362,2009-07-30 08:31:18.022666,M024,ON,,2009-07-30 08:31:18.022666,,,['Breakfast'],1,Breakfast,Breakfast,str,False,Eat,"[149, 1924]",[],no_activity,[],no_activity,2009-07-30,8,late_morning,thu,M024_ON,0 days 00:00:00.974712,4,0,149,1924,1,Breakfast,['Breakfast'],4,4
6,73364,2009-07-30 08:31:19.058889,M024,ON,,2009-07-30 08:31:19.058889,,,['Breakfast'],1,Breakfast,Breakfast,str,False,Eat,"[149, 1924]",[],no_activity,[],no_activity,2009-07-30,8,late_morning,thu,M024_ON,0 days 00:00:00.055611,4,0,149,1924,1,Breakfast,['Breakfast'],4,4
7,73365,2009-07-30 08:31:22.093468,M012,ON,,2009-07-30 08:31:22.093468,,,['Breakfast'],1,Breakfast,Breakfast,str,False,Eat,"[1006, 1502]",[],no_activity,[],no_activity,2009-07-30,8,late_morning,thu,M012_ON,0 days 00:00:03.034579,4,0,1006,1502,1,Breakfast,['Breakfast'],4,4
8,73366,2009-07-30 08:31:23.020968,M011,ON,,2009-07-30 08:31:23.020968,,,['Breakfast'],1,Breakfast,Breakfast,str,False,Eat,"[1061, 1379]",[],no_activity,[],no_activity,2009-07-30,8,late_morning,thu,M011_ON,0 days 00:00:00.927500,4,0,1061,1379,1,Breakfast,['Breakfast'],4,4
9,73371,2009-07-30 08:31:30.004926,M011,ON,,2009-07-30 08:31:30.004926,,,['Breakfast'],1,Breakfast,Breakfast,str,False,Eat,"[1061, 1379]",[],no_activity,[],no_activity,2009-07-30,8,late_morning,thu,M011_ON,0 days 00:00:01.927407,4,0,1061,1379,1,Breakfast,['Breakfast'],4,4
10,73372,2009-07-30 08:31:30.094468,M012,ON,,2009-07-30 08:31:30.094468,,,['Breakfast'],1,Breakfast,Breakfast,str,False,Eat,"[1006, 1502]",[],no_activity,[],no_activity,2009-07-30,8,late_morning,thu,M012_ON,0 days 00:00:00.089542,4,0,1006,1502,1,Breakfast,['Breakfast'],4,4
