time,original_idx,date,sensor,state,activity_full,datetime,activity,marker,activity_list,num_activities,activity_list_str,first_activity,sensor_data_type,is_numeric,first_activity_l2,sensor_location,activity_list_R1,first_activity_R1,activity_list_R2,first_activity_R2,date_col,hour,part_of_day,dow,sensor_reading,time_delta,daily_subgroup,bucket_number,x,y,value,label_first,label_list,cluster_id,cluster_sample_id
1,156076,2009-08-05 15:11:45.039381,M026,ON,,2009-08-05 15:11:45.039381,,,[],0,,no_activity,str,False,No_Activity,"[1580, 964]",[],no_activity,[],no_activity,2009-08-05,15,afternoon,wed,M026_ON,0 days 00:00:01.037569,5,0,1580,964,1,no_activity,[],19,3
2,156078,2009-08-05 15:11:56.050721,M026,ON,,2009-08-05 15:11:56.050721,,,[],0,,no_activity,str,False,No_Activity,"[1580, 964]",[],no_activity,[],no_activity,2009-08-05,15,afternoon,wed,M026_ON,0 days 00:00:02.995849,5,0,1580,964,1,no_activity,[],19,3
3,156080,2009-08-05 15:11:59.012794,M026,ON,,2009-08-05 15:11:59.012794,,,[],0,,no_activity,str,False,No_Activity,"[1580, 964]",[],no_activity,[],no_activity,2009-08-05,15,afternoon,wed,M026_ON,0 days 00:00:00.924750,5,0,1580,964,1,no_activity,[],19,3
4,156082,2009-08-05 15:12:04.042171,M026,ON,,2009-08-05 15:12:04.042171,,,[],0,,no_activity,str,False,No_Activity,"[1580, 964]",[],no_activity,[],no_activity,2009-08-05,15,afternoon,wed,M026_ON,0 days 00:00:02.977018,5,0,1580,964,1,no_activity,[],19,3
5,156084,2009-08-05 15:12:09.002291,M026,ON,,2009-08-05 15:12:09.002291,,,[],0,,no_activity,str,False,No_Activity,"[1580, 964]",[],no_activity,[],no_activity,2009-08-05,15,afternoon,wed,M026_ON,0 days 00:00:02.945915,5,0,1580,964,1,no_activity,[],19,3
6,156086,2009-08-05 15:12:11.084215,M026,ON,,2009-08-05 15:12:11.084215,,,[],0,,no_activity,str,False,No_Activity,"[1580, 964]",[],no_activity,[],no_activity,2009-08-05,15,afternoon,wed,M026_ON,0 days 00:00:00.037248,5,0,1580,964,1,no_activity,[],19,3
7,156088,2009-08-05 15:12:24.010464,M026,ON,,2009-08-05 15:12:24.010464,,,[],0,,no_activity,str,False,No_Activity,"[1580, 964]",[],no_activity,[],no_activity,2009-08-05,15,afternoon,wed,M026_ON,0 days 00:00:06.000489,5,0,1580,964,1,no_activity,[],19,3
8,156090,2009-08-05 15:12:28.006996,M026,ON,,2009-08-05 15:12:28.006996,,,[],0,,no_activity,str,False,No_Activity,"[1580, 964]",[],no_activity,[],no_activity,2009-08-05,15,afternoon,wed,M026_ON,0 days 00:00:01.992532,5,0,1580,964,1,no_activity,[],19,3
9,156092,2009-08-05 15:12:31.021271,M026,ON,,2009-08-05 15:12:31.021271,,,[],0,,no_activity,str,False,No_Activity,"[1580, 964]",[],no_activity,[],no_activity,2009-08-05,15,afternoon,wed,M026_ON,0 days 00:00:00.938118,5,0,1580,964,1,no_activity,[],19,3
10,156094,2009-08-05 15:12:37.027086,M026,ON,,2009-08-05 15:12:37.027086,,,[],0,,no_activity,str,False,No_Activity,"[1580, 964]",[],no_activity,[],no_activity,2009-08-05,15,afternoon,wed,M026_ON,0 days 00:00:01.971584,5,0,1580,964,1,no_activity,[],19,3
