time,original_idx,date,sensor,state,activity_full,datetime,activity,marker,activity_list,num_activities,activity_list_str,first_activity,sensor_data_type,is_numeric,first_activity_l2,sensor_location,activity_list_R1,first_activity_R1,activity_list_R2,first_activity_R2,date_col,hour,part_of_day,dow,sensor_reading,time_delta,daily_subgroup,bucket_number,x,y,value,label_first,label_list,cluster_id,cluster_sample_id
1,159144,2009-08-05 18:55:36.016867,M021,ON,,2009-08-05 18:55:36.016867,,,[],0,,no_activity,str,False,No_Activity,"[1003, 1788]",[],no_activity,[],no_activity,2009-08-05,18,evening,wed,M021_ON,0 days 00:00:02.942004,5,0,1003,1788,1,no_activity,[],8,4
2,159145,2009-08-05 18:55:40.093401,M021,OFF,,2009-08-05 18:55:40.093401,,,[],0,,no_activity,str,False,No_Activity,"[1003, 1788]",[],no_activity,[],no_activity,2009-08-05,18,evening,wed,M021_OFF,0 days 00:00:04.076534,5,0,1003,1788,1,no_activity,[],8,4
3,159146,2009-08-05 18:55:41.051457,M021,ON,,2009-08-05 18:55:41.051457,,,[],0,,no_activity,str,False,No_Activity,"[1003, 1788]",[],no_activity,[],no_activity,2009-08-05,18,evening,wed,M021_ON,0 days 00:00:00.958056,5,0,1003,1788,1,no_activity,[],8,4
4,159147,2009-08-05 18:55:41.098246,M024,ON,,2009-08-05 18:55:41.098246,,,[],0,,no_activity,str,False,No_Activity,"[149, 1924]",[],no_activity,[],no_activity,2009-08-05,18,evening,wed,M024_ON,0 days 00:00:00.046789,5,0,149,1924,1,no_activity,[],8,4
5,159148,2009-08-05 18:55:42.085992,M021,OFF,,2009-08-05 18:55:42.085992,,,[],0,,no_activity,str,False,No_Activity,"[1003, 1788]",[],no_activity,[],no_activity,2009-08-05,18,evening,wed,M021_OFF,0 days 00:00:00.987746,5,0,1003,1788,1,no_activity,[],8,4
6,159149,2009-08-05 18:55:44.002793,M024,OFF,,2009-08-05 18:55:44.002793,,,[],0,,no_activity,str,False,No_Activity,"[149, 1924]",[],no_activity,[],no_activity,2009-08-05,18,evening,wed,M024_OFF,0 days 00:00:01.916801,5,0,149,1924,1,no_activity,[],8,4
7,159150,2009-08-05 18:56:27.086384,M024,ON,,2009-08-05 18:56:27.086384,,,[],0,,no_activity,str,False,No_Activity,"[149, 1924]",[],no_activity,[],no_activity,2009-08-05,18,evening,wed,M024_ON,0 days 00:00:43.083591,5,0,149,1924,1,no_activity,[],8,4
8,159151,2009-08-05 18:56:31.067391,M024,OFF,,2009-08-05 18:56:31.067391,,,[],0,,no_activity,str,False,No_Activity,"[149, 1924]",[],no_activity,[],no_activity,2009-08-05,18,evening,wed,M024_OFF,0 days 00:00:03.981007,5,0,149,1924,1,no_activity,[],8,4
9,159152,2009-08-05 18:56:33.008188,M024,ON,,2009-08-05 18:56:33.008188,,,[],0,,no_activity,str,False,No_Activity,"[149, 1924]",[],no_activity,[],no_activity,2009-08-05,18,evening,wed,M024_ON,0 days 00:00:01.940797,5,0,149,1924,1,no_activity,[],8,4
10,159153,2009-08-05 18:56:39.001816,M024,OFF,,2009-08-05 18:56:39.001816,,,[],0,,no_activity,str,False,No_Activity,"[149, 1924]",[],no_activity,[],no_activity,2009-08-05,18,evening,wed,M024_OFF,0 days 00:00:05.993628,5,0,149,1924,1,no_activity,[],8,4
11,159154,2009-08-05 18:56:41.072917,M024,ON,,2009-08-05 18:56:41.072917,,,[],0,,no_activity,str,False,No_Activity,"[149, 1924]",[],no_activity,[],no_activity,2009-08-05,18,evening,wed,M024_ON,0 days 00:00:02.071101,5,0,149,1924,1,no_activity,[],8,4
12,159155,2009-08-05 18:56:43.098823,M024,OFF,,2009-08-05 18:56:43.098823,,,[],0,,no_activity,str,False,No_Activity,"[149, 1924]",[],no_activity,[],no_activity,2009-08-05,18,evening,wed,M024_OFF,0 days 00:00:02.025906,5,0,149,1924,1,no_activity,[],8,4
