time,original_idx,date,sensor,state,activity_full,datetime,activity,marker,activity_list,num_activities,activity_list_str,first_activity,sensor_data_type,is_numeric,first_activity_l2,sensor_location,activity_list_R1,first_activity_R1,activity_list_R2,first_activity_R2,date_col,hour,part_of_day,dow,sensor_reading,time_delta,daily_subgroup,bucket_number,x,y,value,label_first,label_list,cluster_id,cluster_sample_id
1,25005,2009-07-25 17:22:59.017109,M026,OFF,,2009-07-25 17:22:59.017109,,,[],0,,no_activity,str,False,No_Activity,"[1580, 964]",[],no_activity,[],no_activity,2009-07-25,17,evening,sat,M026_OFF,0 days 00:00:02.004218,4,0,1580,964,1,no_activity,[],19,0
2,25006,2009-07-25 17:22:59.085745,M026,ON,,2009-07-25 17:22:59.085745,,,[],0,,no_activity,str,False,No_Activity,"[1580, 964]",[],no_activity,[],no_activity,2009-07-25,17,evening,sat,M026_ON,0 days 00:00:00.068636,4,0,1580,964,1,no_activity,[],19,0
3,25007,2009-07-25 17:23:05.012339,M022,ON,,2009-07-25 17:23:05.012339,,,[],0,,no_activity,str,False,No_Activity,"[694, 1791]",[],no_activity,[],no_activity,2009-07-25,17,evening,sat,M022_ON,0 days 00:00:05.926594,4,0,694,1791,1,no_activity,[],19,0
4,25008,2009-07-25 17:23:08.083857,M022,OFF,,2009-07-25 17:23:08.083857,,,[],0,,no_activity,str,False,No_Activity,"[694, 1791]",[],no_activity,[],no_activity,2009-07-25,17,evening,sat,M022_OFF,0 days 00:00:03.071518,4,0,694,1791,1,no_activity,[],19,0
5,25009,2009-07-25 17:23:09.093642,M012,ON,,2009-07-25 17:23:09.093642,,,[],0,,no_activity,str,False,No_Activity,"[1006, 1502]",[],no_activity,[],no_activity,2009-07-25,17,evening,sat,M012_ON,0 days 00:00:01.009785,4,0,1006,1502,1,no_activity,[],19,0
6,25010,2009-07-25 17:23:10.019766,M011,ON,,2009-07-25 17:23:10.019766,,,[],0,,no_activity,str,False,No_Activity,"[1061, 1379]",[],no_activity,[],no_activity,2009-07-25,17,evening,sat,M011_ON,0 days 00:00:00.926124,4,0,1061,1379,1,no_activity,[],19,0
7,25011,2009-07-25 17:23:11.003596,M026,OFF,,2009-07-25 17:23:11.003596,,,[],0,,no_activity,str,False,No_Activity,"[1580, 964]",[],no_activity,[],no_activity,2009-07-25,17,evening,sat,M026_OFF,0 days 00:00:00.983830,4,0,1580,964,1,no_activity,[],19,0
8,25012,2009-07-25 17:23:12.097117,M026,ON,,2009-07-25 17:23:12.097117,,,[],0,,no_activity,str,False,No_Activity,"[1580, 964]",[],no_activity,[],no_activity,2009-07-25,17,evening,sat,M026_ON,0 days 00:00:01.093521,4,0,1580,964,1,no_activity,[],19,0
9,25013,2009-07-25 17:23:13.073283,M012,OFF,,2009-07-25 17:23:13.073283,,,[],0,,no_activity,str,False,No_Activity,"[1006, 1502]",[],no_activity,[],no_activity,2009-07-25,17,evening,sat,M012_OFF,0 days 00:00:00.976166,4,0,1006,1502,1,no_activity,[],19,0
10,25014,2009-07-25 17:23:13.098975,M011,OFF,,2009-07-25 17:23:13.098975,,,[],0,,no_activity,str,False,No_Activity,"[1061, 1379]",[],no_activity,[],no_activity,2009-07-25,17,evening,sat,M011_OFF,0 days 00:00:00.025692,4,0,1061,1379,1,no_activity,[],19,0
