time,original_idx,date,sensor,state,activity_full,datetime,activity,marker,activity_list,num_activities,activity_list_str,first_activity,sensor_data_type,is_numeric,first_activity_l2,sensor_location,activity_list_R1,first_activity_R1,activity_list_R2,first_activity_R2,date_col,hour,part_of_day,dow,sensor_reading,time_delta,daily_subgroup,bucket_number,x,y,value,label_first,label_list,cluster_id,cluster_sample_id
1,40347,2009-07-27 10:38:19.048717,M014,OFF,,2009-07-27 10:38:19.048717,,,[],0,,no_activity,str,False,No_Activity,"[1068, 1207]",[],no_activity,[],no_activity,2009-07-27,10,late_morning,mon,M014_OFF,0 days 00:00:00.962766,5,0,1068,1207,1,no_activity,[],13,2
2,40348,2009-07-27 10:38:21.092277,M023,ON,,2009-07-27 10:38:21.092277,,,[],0,,no_activity,str,False,No_Activity,"[149, 964]",[],no_activity,[],no_activity,2009-07-27,10,late_morning,mon,M023_ON,0 days 00:00:02.043560,5,0,149,964,1,no_activity,[],13,2
3,40349,2009-07-27 10:38:24.013184,M023,OFF,,2009-07-27 10:38:24.013184,,,[],0,,no_activity,str,False,No_Activity,"[149, 964]",[],no_activity,[],no_activity,2009-07-27,10,late_morning,mon,M023_OFF,0 days 00:00:02.920907,5,0,149,964,1,no_activity,[],13,2
4,40350,2009-07-27 10:38:40.075357,M013,ON,,2009-07-27 10:38:40.075357,,,[],0,,no_activity,str,False,No_Activity,"[805, 1343]",[],no_activity,[],no_activity,2009-07-27,10,late_morning,mon,M013_ON,0 days 00:00:16.062173,5,0,805,1343,1,no_activity,[],13,2
5,40351,2009-07-27 10:38:42.049172,M013,OFF,,2009-07-27 10:38:42.049172,,,[],0,,no_activity,str,False,No_Activity,"[805, 1343]",[],no_activity,[],no_activity,2009-07-27,10,late_morning,mon,M013_OFF,0 days 00:00:01.973815,5,0,805,1343,1,no_activity,[],13,2
6,40352,2009-07-27 10:38:43.048059,M013,ON,,2009-07-27 10:38:43.048059,,,[],0,,no_activity,str,False,No_Activity,"[805, 1343]",[],no_activity,[],no_activity,2009-07-27,10,late_morning,mon,M013_ON,0 days 00:00:00.998887,5,0,805,1343,1,no_activity,[],13,2
7,40353,2009-07-27 10:38:45.088003,M013,OFF,,2009-07-27 10:38:45.088003,,,[],0,,no_activity,str,False,No_Activity,"[805, 1343]",[],no_activity,[],no_activity,2009-07-27,10,late_morning,mon,M013_OFF,0 days 00:00:02.039944,5,0,805,1343,1,no_activity,[],13,2
8,40354,2009-07-27 10:38:47.061116,M023,ON,,2009-07-27 10:38:47.061116,,,[],0,,no_activity,str,False,No_Activity,"[149, 964]",[],no_activity,[],no_activity,2009-07-27,10,late_morning,mon,M023_ON,0 days 00:00:01.973113,5,0,149,964,1,no_activity,[],13,2
9,40355,2009-07-27 10:38:49.043014,M023,OFF,,2009-07-27 10:38:49.043014,,,[],0,,no_activity,str,False,No_Activity,"[149, 964]",[],no_activity,[],no_activity,2009-07-27,10,late_morning,mon,M023_OFF,0 days 00:00:01.981898,5,0,149,964,1,no_activity,[],13,2
10,40356,2009-07-27 10:38:50.001277,M014,ON,,2009-07-27 10:38:50.001277,,,[],0,,no_activity,str,False,No_Activity,"[1068, 1207]",[],no_activity,[],no_activity,2009-07-27,10,late_morning,mon,M014_ON,0 days 00:00:00.958263,5,0,1068,1207,1,no_activity,[],13,2
11,40357,2009-07-27 10:38:50.048898,M011,ON,,2009-07-27 10:38:50.048898,,,[],0,,no_activity,str,False,No_Activity,"[1061, 1379]",[],no_activity,[],no_activity,2009-07-27,10,late_morning,mon,M011_ON,0 days 00:00:00.047621,5,0,1061,1379,1,no_activity,[],13,2
12,40358,2009-07-27 10:38:50.086489,M012,ON,,2009-07-27 10:38:50.086489,,,[],0,,no_activity,str,False,No_Activity,"[1006, 1502]",[],no_activity,[],no_activity,2009-07-27,10,late_morning,mon,M012_ON,0 days 00:00:00.037591,5,0,1006,1502,1,no_activity,[],13,2
13,40359,2009-07-27 10:38:52.008269,M013,ON,,2009-07-27 10:38:52.008269,,,[],0,,no_activity,str,False,No_Activity,"[805, 1343]",[],no_activity,[],no_activity,2009-07-27,10,late_morning,mon,M013_ON,0 days 00:00:01.921780,5,0,805,1343,1,no_activity,[],13,2
14,40360,2009-07-27 10:38:52.025345,M014,OFF,,2009-07-27 10:38:52.025345,,,[],0,,no_activity,str,False,No_Activity,"[1068, 1207]",[],no_activity,[],no_activity,2009-07-27,10,late_morning,mon,M014_OFF,0 days 00:00:00.017076,5,0,1068,1207,1,no_activity,[],13,2
15,40361,2009-07-27 10:38:52.049945,M012,OFF,,2009-07-27 10:38:52.049945,,,[],0,,no_activity,str,False,No_Activity,"[1006, 1502]",[],no_activity,[],no_activity,2009-07-27,10,late_morning,mon,M012_OFF,0 days 00:00:00.024600,5,0,1006,1502,1,no_activity,[],13,2
16,40362,2009-07-27 10:38:53.015107,M021,ON,,2009-07-27 10:38:53.015107,,,[],0,,no_activity,str,False,No_Activity,"[1003, 1788]",[],no_activity,[],no_activity,2009-07-27,10,late_morning,mon,M021_ON,0 days 00:00:00.965162,5,0,1003,1788,1,no_activity,[],13,2
17,40363,2009-07-27 10:38:53.061174,M011,OFF,,2009-07-27 10:38:53.061174,,,[],0,,no_activity,str,False,No_Activity,"[1061, 1379]",[],no_activity,[],no_activity,2009-07-27,10,late_morning,mon,M011_OFF,0 days 00:00:00.046067,5,0,1061,1379,1,no_activity,[],13,2
18,40364,2009-07-27 10:38:55.092773,M013,OFF,,2009-07-27 10:38:55.092773,,,[],0,,no_activity,str,False,No_Activity,"[805, 1343]",[],no_activity,[],no_activity,2009-07-27,10,late_morning,mon,M013_OFF,0 days 00:00:02.031599,5,0,805,1343,1,no_activity,[],13,2
19,40365,2009-07-27 10:38:56.069514,M021,OFF,,2009-07-27 10:38:56.069514,,,[],0,,no_activity,str,False,No_Activity,"[1003, 1788]",[],no_activity,[],no_activity,2009-07-27,10,late_morning,mon,M021_OFF,0 days 00:00:00.976741,5,0,1003,1788,1,no_activity,[],13,2
20,40366,2009-07-27 10:39:26.044129,M021,ON,,2009-07-27 10:39:26.044129,,,[],0,,no_activity,str,False,No_Activity,"[1003, 1788]",[],no_activity,[],no_activity,2009-07-27,10,late_morning,mon,M021_ON,0 days 00:00:29.974615,5,0,1003,1788,1,no_activity,[],13,2
