time,original_idx,date,sensor,state,activity_full,datetime,activity,marker,activity_list,num_activities,activity_list_str,first_activity,sensor_data_type,is_numeric,first_activity_l2,sensor_location,date_col,hour,part_of_day,dow,sensor_reading,time_delta,daily_subgroup,x,y,value,label_first,label_list,cluster_id
1,27268,2009-10-20 14:15:31.000055,M010,ON,,2009-10-20 14:15:31.000055,,,['Chores'],1,Chores,Chores,str,False,Chores,"(716, 344)",2009-10-20,14,afternoon,tue,M010_ON,0 days 00:00:00.999979,7,716,344,1,Chores,['Chores'],1
2,27270,2009-10-20 14:15:32.000044,M023,ON,,2009-10-20 14:15:32.000044,,,['Chores'],1,Chores,Chores,str,False,Chores,"(543, 146)",2009-10-20,14,afternoon,tue,M023_ON,0 days 00:00:00.999945,7,543,146,1,Chores,['Chores'],1
3,27271,2009-10-20 14:15:33.000023,M011,ON,,2009-10-20 14:15:33.000023,,,['Chores'],1,Chores,Chores,str,False,Chores,"(597, 340)",2009-10-20,14,afternoon,tue,M011_ON,0 days 00:00:00.999979,7,597,340,1,Chores,['Chores'],1
4,27276,2009-10-20 14:15:38.000018,M024,ON,,2009-10-20 14:15:38.000018,,,['Chores'],1,Chores,Chores,str,False,Chores,"(163, 209)",2009-10-20,14,afternoon,tue,M024_ON,0 days 00:00:01.999947,7,163,209,1,Chores,['Chores'],1
5,27278,2009-10-20 14:15:40.000087,M012,ON,,2009-10-20 14:15:40.000087,,,['Chores'],1,Chores,Chores,str,False,Chores,"(716, 150)",2009-10-20,14,afternoon,tue,M012_ON,0 days 00:00:01.000018,7,716,150,1,Chores,['Chores'],1
6,27279,2009-10-20 14:15:43.000080,M023,ON,,2009-10-20 14:15:43.000080,,,['Chores'],1,Chores,Chores,str,False,Chores,"(543, 146)",2009-10-20,14,afternoon,tue,M023_ON,0 days 00:00:02.999993,7,543,146,1,Chores,['Chores'],1
7,27281,2009-10-20 14:15:46.000086,M011,ON,,2009-10-20 14:15:46.000086,,,['Chores'],1,Chores,Chores,str,False,Chores,"(597, 340)",2009-10-20,14,afternoon,tue,M011_ON,0 days 00:00:02.000023,7,597,340,1,Chores,['Chores'],1
8,27283,2009-10-20 14:15:47.000083,M027,ON,,2009-10-20 14:15:47.000083,,,['Chores'],1,Chores,Chores,str,False,Chores,"(974, 495)",2009-10-20,14,afternoon,tue,M027_ON,0 days 00:00:00.000048,7,974,495,1,Chores,['Chores'],1
9,27285,2009-10-20 14:15:48.000046,M003,ON,,2009-10-20 14:15:48.000046,,,['Chores'],1,Chores,Chores,str,False,Chores,"(918, 148)",2009-10-20,14,afternoon,tue,M003_ON,0 days 00:00:00.000011,7,918,148,1,Chores,['Chores'],1
10,27286,2009-10-20 14:15:48.000095,M009,ON,,2009-10-20 14:15:48.000095,,,['Chores'],1,Chores,Chores,str,False,Chores,"(599, 655)",2009-10-20,14,afternoon,tue,M009_ON,0 days 00:00:00.000049,7,599,655,1,Chores,['Chores'],1
11,27288,2009-10-20 14:15:51.000065,M019,ON,,2009-10-20 14:15:51.000065,,,['Chores'],1,Chores,Chores,str,False,Chores,"(532, 787)",2009-10-20,14,afternoon,tue,M019_ON,0 days 00:00:00.000048,7,532,787,1,Chores,['Chores'],1
12,27291,2009-10-20 14:15:53.000041,M010,ON,,2009-10-20 14:15:53.000041,,,['Chores'],1,Chores,Chores,str,False,Chores,"(716, 344)",2009-10-20,14,afternoon,tue,M010_ON,0 days 00:00:00.999982,7,716,344,1,Chores,['Chores'],1
13,27292,2009-10-20 14:15:55.000025,M011,ON,,2009-10-20 14:15:55.000025,,,['Chores'],1,Chores,Chores,str,False,Chores,"(597, 340)",2009-10-20,14,afternoon,tue,M011_ON,0 days 00:00:01.999984,7,597,340,1,Chores,['Chores'],1
14,27294,2009-10-20 14:15:56.000083,M017,ON,,2009-10-20 14:15:56.000083,,,['Chores'],1,Chores,Chores,str,False,Chores,"(528, 447)",2009-10-20,14,afternoon,tue,M017_ON,0 days 00:00:00.000078,7,528,447,1,Chores,['Chores'],1
15,27296,2009-10-20 14:15:57.000073,M009,ON,,2009-10-20 14:15:57.000073,,,['Chores'],1,Chores,Chores,str,False,Chores,"(599, 655)",2009-10-20,14,afternoon,tue,M009_ON,0 days 00:00:00.000045,7,599,655,1,Chores,['Chores'],1
16,27298,2009-10-20 14:15:58.000096,M025,ON,,2009-10-20 14:15:58.000096,,,['Chores'],1,Chores,Chores,str,False,Chores,"(246, 626)",2009-10-20,14,afternoon,tue,M025_ON,0 days 00:00:00.000044,7,246,626,1,Chores,['Chores'],1
17,27301,2009-10-20 14:16:02.000011,M019,ON,,2009-10-20 14:16:02.000011,,,['Chores'],1,Chores,Chores,str,False,Chores,"(532, 787)",2009-10-20,14,afternoon,tue,M019_ON,0 days 00:00:00.999945,7,532,787,1,Chores,['Chores'],1
18,27303,2009-10-20 14:16:03.000068,M025,ON,,2009-10-20 14:16:03.000068,,,['Chores'],1,Chores,Chores,str,False,Chores,"(246, 626)",2009-10-20,14,afternoon,tue,M025_ON,0 days 00:00:00.000045,7,246,626,1,Chores,['Chores'],1
19,27307,2009-10-20 14:16:07.000051,M028,ON,,2009-10-20 14:16:07.000051,,,['Chores'],1,Chores,Chores,str,False,Chores,"(209, 964)",2009-10-20,14,afternoon,tue,M028_ON,0 days 00:00:00.000009,7,209,964,1,Chores,['Chores'],1
20,27309,2009-10-20 14:16:09.000044,M008,ON,,2009-10-20 14:16:09.000044,,,['Chores'],1,Chores,Chores,str,False,Chores,"(678, 908)",2009-10-20,14,afternoon,tue,M008_ON,0 days 00:00:00.999946,7,678,908,1,Chores,['Chores'],1
21,27310,2009-10-20 14:16:09.000090,M020,ON,,2009-10-20 14:16:09.000090,,,['Chores'],1,Chores,Chores,str,False,Chores,"(161, 889)",2009-10-20,14,afternoon,tue,M020_ON,0 days 00:00:00.000046,7,161,889,1,Chores,['Chores'],1
22,27311,2009-10-20 14:16:12.000047,M006,ON,,2009-10-20 14:16:12.000047,,,['Chores'],1,Chores,Chores,str,False,Chores,"(762, 1135)",2009-10-20,14,afternoon,tue,M006_ON,0 days 00:00:02.999957,7,762,1135,1,Chores,['Chores'],1
