time,original_idx,date,sensor,state,activity,marker,datetime,activity_full,activity_list,num_activities,activity_list_str,first_activity,sensor_data_type,is_numeric,first_activity_l2,sensor_location,date_col,hour,part_of_day,dow,sensor_reading,time_delta,daily_subgroup,bucket_number,x,y,value,label_first,label_list,cluster_id,cluster_sample_id
1,159294,2009-12-13 10:47:58.000021,M015,ON,,,2009-12-13 10:47:58.000021,,['Kitchen_Activity'],1,Kitchen_Activity,Kitchen_Activity,str,False,Cook,"[870, 391]",2009-12-13,10,late_morning,sun,M015_ON,0 days 00:00:01.999983,5,0,870,391,1,Kitchen_Activity,['Kitchen_Activity'],1,2
2,159296,2009-12-13 10:48:01.000084,M015,ON,,,2009-12-13 10:48:01.000084,,['Kitchen_Activity'],1,Kitchen_Activity,Kitchen_Activity,str,False,Cook,"[870, 391]",2009-12-13,10,late_morning,sun,M015_ON,0 days 00:00:01.000047,5,0,870,391,1,Kitchen_Activity,['Kitchen_Activity'],1,2
3,159298,2009-12-13 10:48:08.000055,M023,ON,,,2009-12-13 10:48:08.000055,,['Kitchen_Activity'],1,Kitchen_Activity,Kitchen_Activity,str,False,Cook,"[1096, 269]",2009-12-13,10,late_morning,sun,M023_ON,0 days 00:00:04.000055,5,0,1096,269,1,Kitchen_Activity,['Kitchen_Activity'],1,2
4,159300,2009-12-13 10:48:12.000087,M015,ON,,,2009-12-13 10:48:12.000087,,['Kitchen_Activity'],1,Kitchen_Activity,Kitchen_Activity,str,False,Cook,"[870, 391]",2009-12-13,10,late_morning,sun,M015_ON,0 days 00:00:02.000051,5,0,870,391,1,Kitchen_Activity,['Kitchen_Activity'],1,2
5,159302,2009-12-13 10:48:25.000067,M015,ON,,,2009-12-13 10:48:25.000067,,['Kitchen_Activity'],1,Kitchen_Activity,Kitchen_Activity,str,False,Cook,"[870, 391]",2009-12-13,10,late_morning,sun,M015_ON,0 days 00:00:10.000059,5,0,870,391,1,Kitchen_Activity,['Kitchen_Activity'],1,2
6,159303,2009-12-13 10:48:38.000042,M023,ON,,,2009-12-13 10:48:38.000042,,['Kitchen_Activity'],1,Kitchen_Activity,Kitchen_Activity,str,False,Cook,"[1096, 269]",2009-12-13,10,late_morning,sun,M023_ON,0 days 00:00:12.999975,5,0,1096,269,1,Kitchen_Activity,['Kitchen_Activity'],1,2
7,159306,2009-12-13 10:48:45.000097,M015,ON,,,2009-12-13 10:48:45.000097,,['Kitchen_Activity'],1,Kitchen_Activity,Kitchen_Activity,str,False,Cook,"[870, 391]",2009-12-13,10,late_morning,sun,M015_ON,0 days 00:00:01.000087,5,0,870,391,1,Kitchen_Activity,['Kitchen_Activity'],1,2
8,159308,2009-12-13 10:48:53.000056,M015,ON,,,2009-12-13 10:48:53.000056,,['Kitchen_Activity'],1,Kitchen_Activity,Kitchen_Activity,str,False,Cook,"[870, 391]",2009-12-13,10,late_morning,sun,M015_ON,0 days 00:00:02.000022,5,0,870,391,1,Kitchen_Activity,['Kitchen_Activity'],1,2
9,159309,2009-12-13 10:48:54.000006,M023,ON,,,2009-12-13 10:48:54.000006,,['Kitchen_Activity'],1,Kitchen_Activity,Kitchen_Activity,str,False,Cook,"[1096, 269]",2009-12-13,10,late_morning,sun,M023_ON,0 days 00:00:00.999950,5,0,1096,269,1,Kitchen_Activity,['Kitchen_Activity'],1,2
10,159311,2009-12-13 10:49:03.000093,M023,ON,,,2009-12-13 10:49:03.000093,,['Kitchen_Activity'],1,Kitchen_Activity,Kitchen_Activity,str,False,Cook,"[1096, 269]",2009-12-13,10,late_morning,sun,M023_ON,0 days 00:00:08.000001,5,0,1096,269,1,Kitchen_Activity,['Kitchen_Activity'],1,2
