time,original_idx,date,sensor,state,activity,marker,datetime,activity_full,activity_list,num_activities,activity_list_str,first_activity,sensor_data_type,is_numeric,first_activity_l2,sensor_location,date_col,hour,part_of_day,dow,sensor_reading,time_delta,daily_subgroup,bucket_number,x,y,value,label_first,label_list,cluster_id,cluster_sample_id
1,179067,2009-12-16 12:28:57.000005,M002,ON,,,2009-12-16 12:28:57.000005,,[],0,,no_activity,str,False,No_Activity,"[2450, 554]",2009-12-16,12,afternoon,wed,M002_ON,0 days 00:00:00.999945,6,0,2450,554,1,no_activity,[],7,2
2,179068,2009-12-16 12:29:00.000023,M001,ON,,,2009-12-16 12:29:00.000023,,[],0,,no_activity,str,False,No_Activity,"[2450, 296]",2009-12-16,12,afternoon,wed,M001_ON,0 days 00:00:03.000018,6,0,2450,296,1,no_activity,[],7,2
3,179069,2009-12-16 12:29:04.000043,M001,OFF,,,2009-12-16 12:29:04.000043,,[],0,,no_activity,str,False,No_Activity,"[2450, 296]",2009-12-16,12,afternoon,wed,M001_OFF,0 days 00:00:04.000020,6,0,2450,296,1,no_activity,[],7,2
4,179070,2009-12-16 12:29:07.000026,M002,OFF,,,2009-12-16 12:29:07.000026,,[],0,,no_activity,str,False,No_Activity,"[2450, 554]",2009-12-16,12,afternoon,wed,M002_OFF,0 days 00:00:02.999983,6,0,2450,554,1,no_activity,[],7,2
5,179071,2009-12-16 12:29:10.000045,M002,ON,,,2009-12-16 12:29:10.000045,,[],0,,no_activity,str,False,No_Activity,"[2450, 554]",2009-12-16,12,afternoon,wed,M002_ON,0 days 00:00:03.000019,6,0,2450,554,1,no_activity,[],7,2
6,179072,2009-12-16 12:29:12.000067,M002,OFF,,,2009-12-16 12:29:12.000067,,[],0,,no_activity,str,False,No_Activity,"[2450, 554]",2009-12-16,12,afternoon,wed,M002_OFF,0 days 00:00:02.000022,6,0,2450,554,1,no_activity,[],7,2
7,179073,2009-12-16 12:29:13.000051,M002,ON,,,2009-12-16 12:29:13.000051,,[],0,,no_activity,str,False,No_Activity,"[2450, 554]",2009-12-16,12,afternoon,wed,M002_ON,0 days 00:00:00.999984,6,0,2450,554,1,no_activity,[],7,2
8,179074,2009-12-16 12:29:16.000010,M002,OFF,,,2009-12-16 12:29:16.000010,,[],0,,no_activity,str,False,No_Activity,"[2450, 554]",2009-12-16,12,afternoon,wed,M002_OFF,0 days 00:00:02.999959,6,0,2450,554,1,no_activity,[],7,2
9,179075,2009-12-16 12:29:19.000002,M002,ON,,,2009-12-16 12:29:19.000002,,[],0,,no_activity,str,False,No_Activity,"[2450, 554]",2009-12-16,12,afternoon,wed,M002_ON,0 days 00:00:02.999992,6,0,2450,554,1,no_activity,[],7,2
10,179076,2009-12-16 12:29:21.000060,M002,OFF,,,2009-12-16 12:29:21.000060,,[],0,,no_activity,str,False,No_Activity,"[2450, 554]",2009-12-16,12,afternoon,wed,M002_OFF,0 days 00:00:02.000058,6,0,2450,554,1,no_activity,[],7,2
11,179077,2009-12-16 12:29:24.000084,M002,ON,,,2009-12-16 12:29:24.000084,,[],0,,no_activity,str,False,No_Activity,"[2450, 554]",2009-12-16,12,afternoon,wed,M002_ON,0 days 00:00:03.000024,6,0,2450,554,1,no_activity,[],7,2
12,179078,2009-12-16 12:29:44.000047,M002,OFF,,,2009-12-16 12:29:44.000047,,[],0,,no_activity,str,False,No_Activity,"[2450, 554]",2009-12-16,12,afternoon,wed,M002_OFF,0 days 00:00:19.999963,6,0,2450,554,1,no_activity,[],7,2
13,179079,2009-12-16 12:29:47.000005,M002,ON,,,2009-12-16 12:29:47.000005,,[],0,,no_activity,str,False,No_Activity,"[2450, 554]",2009-12-16,12,afternoon,wed,M002_ON,0 days 00:00:02.999958,6,0,2450,554,1,no_activity,[],7,2
14,179080,2009-12-16 12:29:49.000097,M002,OFF,,,2009-12-16 12:29:49.000097,,[],0,,no_activity,str,False,No_Activity,"[2450, 554]",2009-12-16,12,afternoon,wed,M002_OFF,0 days 00:00:02.000092,6,0,2450,554,1,no_activity,[],7,2
15,179081,2009-12-16 12:29:50.000082,M002,ON,,,2009-12-16 12:29:50.000082,,[],0,,no_activity,str,False,No_Activity,"[2450, 554]",2009-12-16,12,afternoon,wed,M002_ON,0 days 00:00:00.999985,6,0,2450,554,1,no_activity,[],7,2
16,179082,2009-12-16 12:29:55.000010,M002,OFF,,,2009-12-16 12:29:55.000010,,[],0,,no_activity,str,False,No_Activity,"[2450, 554]",2009-12-16,12,afternoon,wed,M002_OFF,0 days 00:00:04.999928,6,0,2450,554,1,no_activity,[],7,2
17,179083,2009-12-16 12:29:59.000067,M002,ON,,,2009-12-16 12:29:59.000067,,[],0,,no_activity,str,False,No_Activity,"[2450, 554]",2009-12-16,12,afternoon,wed,M002_ON,0 days 00:00:04.000057,6,0,2450,554,1,no_activity,[],7,2
18,179084,2009-12-16 12:30:04.000092,M002,OFF,,,2009-12-16 12:30:04.000092,,[],0,,no_activity,str,False,No_Activity,"[2450, 554]",2009-12-16,12,afternoon,wed,M002_OFF,0 days 00:00:05.000025,6,0,2450,554,1,no_activity,[],7,2
19,179085,2009-12-16 12:30:10.000014,M002,ON,,,2009-12-16 12:30:10.000014,,[],0,,no_activity,str,False,No_Activity,"[2450, 554]",2009-12-16,12,afternoon,wed,M002_ON,0 days 00:00:05.999922,6,0,2450,554,1,no_activity,[],7,2
20,179086,2009-12-16 12:30:12.000029,M002,OFF,,,2009-12-16 12:30:12.000029,,[],0,,no_activity,str,False,No_Activity,"[2450, 554]",2009-12-16,12,afternoon,wed,M002_OFF,0 days 00:00:02.000015,6,0,2450,554,1,no_activity,[],7,2
