time,original_idx,date,sensor,state,activity,marker,datetime,activity_full,activity_list,num_activities,activity_list_str,first_activity,sensor_data_type,is_numeric,first_activity_l2,sensor_location,date_col,hour,part_of_day,dow,sensor_reading,time_delta,daily_subgroup,bucket_number,x,y,value,label_first,label_list,cluster_id,cluster_sample_id
1,18891,2009-11-22 07:52:20.000082,M013,OFF,,,2009-11-22 07:52:20.000082,,['Master_Bathroom'],1,Master_Bathroom,Master_Bathroom,str,False,Bathing,"[934, 1488]",2009-11-22,7,early_morning,sun,M013_OFF,0 days 00:00:02.000023,5,0,934,1488,1,Master_Bathroom,['Master_Bathroom'],10,1
2,18892,2009-11-22 07:52:32.000071,M019,ON,,,2009-11-22 07:52:32.000071,,['Master_Bathroom'],1,Master_Bathroom,Master_Bathroom,str,False,Bathing,"[1233, 1682]",2009-11-22,7,early_morning,sun,M019_ON,0 days 00:00:11.999989,5,0,1233,1682,1,Master_Bathroom,['Master_Bathroom'],10,1
3,18893,2009-11-22 07:52:34.000087,M019,OFF,,,2009-11-22 07:52:34.000087,,['Master_Bathroom'],1,Master_Bathroom,Master_Bathroom,str,False,Bathing,"[1233, 1682]",2009-11-22,7,early_morning,sun,M019_OFF,0 days 00:00:02.000016,5,0,1233,1682,1,Master_Bathroom,['Master_Bathroom'],10,1
4,18894,2009-11-22 07:53:33.000086,M013,ON,,,2009-11-22 07:53:33.000086,,['Master_Bathroom'],1,Master_Bathroom,Master_Bathroom,str,False,Bathing,"[934, 1488]",2009-11-22,7,early_morning,sun,M013_ON,0 days 00:00:58.999999,5,0,934,1488,1,Master_Bathroom,['Master_Bathroom'],10,1
5,18895,2009-11-22 07:53:37.000039,M013,OFF,,,2009-11-22 07:53:37.000039,,['Master_Bathroom'],1,Master_Bathroom,Master_Bathroom,str,False,Bathing,"[934, 1488]",2009-11-22,7,early_morning,sun,M013_OFF,0 days 00:00:03.999953,5,0,934,1488,1,Master_Bathroom,['Master_Bathroom'],10,1
6,18896,2009-11-22 07:53:38.000018,M013,ON,,,2009-11-22 07:53:38.000018,,['Master_Bathroom'],1,Master_Bathroom,Master_Bathroom,str,False,Bathing,"[934, 1488]",2009-11-22,7,early_morning,sun,M013_ON,0 days 00:00:00.999979,5,0,934,1488,1,Master_Bathroom,['Master_Bathroom'],10,1
7,18897,2009-11-22 07:53:45.000065,M013,OFF,,,2009-11-22 07:53:45.000065,,['Master_Bathroom'],1,Master_Bathroom,Master_Bathroom,str,False,Bathing,"[934, 1488]",2009-11-22,7,early_morning,sun,M013_OFF,0 days 00:00:07.000047,5,0,934,1488,1,Master_Bathroom,['Master_Bathroom'],10,1
8,18898,2009-11-22 07:54:20.000055,M013,ON,,,2009-11-22 07:54:20.000055,,['Master_Bathroom'],1,Master_Bathroom,Master_Bathroom,str,False,Bathing,"[934, 1488]",2009-11-22,7,early_morning,sun,M013_ON,0 days 00:00:34.999990,5,0,934,1488,1,Master_Bathroom,['Master_Bathroom'],10,1
9,18899,2009-11-22 07:54:26.000061,M013,OFF,,,2009-11-22 07:54:26.000061,,['Master_Bathroom'],1,Master_Bathroom,Master_Bathroom,str,False,Bathing,"[934, 1488]",2009-11-22,7,early_morning,sun,M013_OFF,0 days 00:00:06.000006,5,0,934,1488,1,Master_Bathroom,['Master_Bathroom'],10,1
10,18900,2009-11-22 07:54:35.000074,M025,ON,Master_Bathroom,end,2009-11-22 07:54:35.000074,Master_Bathroom end,['Master_Bathroom'],1,Master_Bathroom,Master_Bathroom,str,False,Bathing,"[567, 1308]",2009-11-22,7,early_morning,sun,M025_ON,0 days 00:00:09.000013,5,0,567,1308,1,Master_Bathroom,['Master_Bathroom'],10,1
11,18901,2009-11-22 07:54:44.000003,M019,ON,,,2009-11-22 07:54:44.000003,,[],0,,no_activity,str,False,No_Activity,"[1233, 1682]",2009-11-22,7,early_morning,sun,M019_ON,0 days 00:00:08.999929,5,0,1233,1682,1,no_activity,[],10,1
12,18902,2009-11-22 07:54:44.000047,M025,OFF,,,2009-11-22 07:54:44.000047,,[],0,,no_activity,str,False,No_Activity,"[567, 1308]",2009-11-22,7,early_morning,sun,M025_OFF,0 days 00:00:00.000044,5,0,567,1308,1,no_activity,[],10,1
13,18903,2009-11-22 07:54:46.000062,M019,OFF,,,2009-11-22 07:54:46.000062,,[],0,,no_activity,str,False,No_Activity,"[1233, 1682]",2009-11-22,7,early_morning,sun,M019_OFF,0 days 00:00:02.000015,5,0,1233,1682,1,no_activity,[],10,1
14,18904,2009-11-22 07:54:47.000041,M019,ON,,,2009-11-22 07:54:47.000041,,[],0,,no_activity,str,False,No_Activity,"[1233, 1682]",2009-11-22,7,early_morning,sun,M019_ON,0 days 00:00:00.999979,5,0,1233,1682,1,no_activity,[],10,1
15,18905,2009-11-22 07:54:48.000089,M008,ON,,,2009-11-22 07:54:48.000089,,[],0,,no_activity,str,False,No_Activity,"[1475, 1943]",2009-11-22,7,early_morning,sun,M008_ON,0 days 00:00:01.000048,5,0,1475,1943,1,no_activity,[],10,1
16,18906,2009-11-22 07:54:51.000009,M007,ON,,,2009-11-22 07:54:51.000009,,[],0,,no_activity,str,False,No_Activity,"[1026, 2253]",2009-11-22,7,early_morning,sun,M007_ON,0 days 00:00:02.999920,5,0,1026,2253,1,no_activity,[],10,1
17,18907,2009-11-22 07:54:51.000093,M008,OFF,,,2009-11-22 07:54:51.000093,,[],0,,no_activity,str,False,No_Activity,"[1475, 1943]",2009-11-22,7,early_morning,sun,M008_OFF,0 days 00:00:00.000084,5,0,1475,1943,1,no_activity,[],10,1
18,18908,2009-11-22 07:54:52.000042,M007,OFF,,,2009-11-22 07:54:52.000042,,[],0,,no_activity,str,False,No_Activity,"[1026, 2253]",2009-11-22,7,early_morning,sun,M007_OFF,0 days 00:00:00.999949,5,0,1026,2253,1,no_activity,[],10,1
19,18909,2009-11-22 07:54:52.000093,M008,ON,,,2009-11-22 07:54:52.000093,,[],0,,no_activity,str,False,No_Activity,"[1475, 1943]",2009-11-22,7,early_morning,sun,M008_ON,0 days 00:00:00.000051,5,0,1475,1943,1,no_activity,[],10,1
20,18910,2009-11-22 07:54:53.000039,M019,OFF,,,2009-11-22 07:54:53.000039,,[],0,,no_activity,str,False,No_Activity,"[1233, 1682]",2009-11-22,7,early_morning,sun,M019_OFF,0 days 00:00:00.999946,5,0,1233,1682,1,no_activity,[],10,1
