time,original_idx,date,sensor,state,activity,marker,datetime,activity_full,activity_list,num_activities,activity_list_str,first_activity,sensor_data_type,is_numeric,first_activity_l2,sensor_location,date_col,hour,part_of_day,dow,sensor_reading,time_delta,daily_subgroup,bucket_number,x,y,value,label_first,label_list,cluster_id,cluster_sample_id
1,74917,2009-11-30 19:17:10.000038,M003,ON,,,2009-11-30 19:17:10.000038,,['Read'],1,Read,Read,str,False,Relax,"[1957, 394]",2009-11-30,19,evening,mon,M003_ON,0 days 00:02:11.999969,7,0,1957,394,1,Read,['Read'],17,2
2,74918,2009-11-30 19:17:12.000053,M012,ON,,,2009-11-30 19:17:12.000053,,['Read'],1,Read,Read,str,False,Relax,"[1570, 401]",2009-11-30,19,evening,mon,M012_ON,0 days 00:00:02.000015,7,0,1570,401,1,Read,['Read'],17,2
3,74919,2009-11-30 19:17:14.000079,M022,ON,,,2009-11-30 19:17:14.000079,,['Read'],1,Read,Read,str,False,Relax,"[1379, 282]",2009-11-30,19,evening,mon,M022_ON,0 days 00:00:02.000026,7,0,1379,282,1,Read,['Read'],17,2
4,74920,2009-11-30 19:17:14.000080,M003,OFF,,,2009-11-30 19:17:14.000080,,['Read'],1,Read,Read,str,False,Relax,"[1957, 394]",2009-11-30,19,evening,mon,M003_OFF,0 days 00:00:00.000001,7,0,1957,394,1,Read,['Read'],17,2
5,74921,2009-11-30 19:17:16.000095,M022,OFF,,,2009-11-30 19:17:16.000095,,['Read'],1,Read,Read,str,False,Relax,"[1379, 282]",2009-11-30,19,evening,mon,M022_OFF,0 days 00:00:02.000015,7,0,1379,282,1,Read,['Read'],17,2
6,74922,2009-11-30 19:17:17.000040,M012,OFF,,,2009-11-30 19:17:17.000040,,['Read'],1,Read,Read,str,False,Relax,"[1570, 401]",2009-11-30,19,evening,mon,M012_OFF,0 days 00:00:00.999945,7,0,1570,401,1,Read,['Read'],17,2
7,74923,2009-11-30 19:18:04.000044,M012,ON,,,2009-11-30 19:18:04.000044,,['Read'],1,Read,Read,str,False,Relax,"[1570, 401]",2009-11-30,19,evening,mon,M012_ON,0 days 00:00:47.000004,7,0,1570,401,1,Read,['Read'],17,2
8,74924,2009-11-30 19:18:09.000034,M012,OFF,,,2009-11-30 19:18:09.000034,,['Read'],1,Read,Read,str,False,Relax,"[1570, 401]",2009-11-30,19,evening,mon,M012_OFF,0 days 00:00:04.999990,7,0,1570,401,1,Read,['Read'],17,2
9,74925,2009-11-30 19:18:18.000031,M004,ON,,,2009-11-30 19:18:18.000031,,['Read'],1,Read,Read,str,False,Relax,"[1777, 1926]",2009-11-30,19,evening,mon,M004_ON,0 days 00:00:08.999997,7,0,1777,1926,1,Read,['Read'],17,2
10,74926,2009-11-30 19:18:19.000078,M004,OFF,,,2009-11-30 19:18:19.000078,,['Read'],1,Read,Read,str,False,Relax,"[1777, 1926]",2009-11-30,19,evening,mon,M004_OFF,0 days 00:00:01.000047,7,0,1777,1926,1,Read,['Read'],17,2
11,74927,2009-11-30 19:18:21.000026,M004,ON,,,2009-11-30 19:18:21.000026,,['Read'],1,Read,Read,str,False,Relax,"[1777, 1926]",2009-11-30,19,evening,mon,M004_ON,0 days 00:00:01.999948,7,0,1777,1926,1,Read,['Read'],17,2
12,74928,2009-11-30 19:18:23.000083,M004,OFF,,,2009-11-30 19:18:23.000083,,['Read'],1,Read,Read,str,False,Relax,"[1777, 1926]",2009-11-30,19,evening,mon,M004_OFF,0 days 00:00:02.000057,7,0,1777,1926,1,Read,['Read'],17,2
13,74929,2009-11-30 19:19:12.000090,M004,ON,,,2009-11-30 19:19:12.000090,,['Read'],1,Read,Read,str,False,Relax,"[1777, 1926]",2009-11-30,19,evening,mon,M004_ON,0 days 00:00:49.000007,7,0,1777,1926,1,Read,['Read'],17,2
14,74930,2009-11-30 19:19:18.000080,M004,OFF,,,2009-11-30 19:19:18.000080,,['Read'],1,Read,Read,str,False,Relax,"[1777, 1926]",2009-11-30,19,evening,mon,M004_OFF,0 days 00:00:05.999990,7,0,1777,1926,1,Read,['Read'],17,2
15,74931,2009-11-30 19:19:19.000093,M004,ON,,,2009-11-30 19:19:19.000093,,['Read'],1,Read,Read,str,False,Relax,"[1777, 1926]",2009-11-30,19,evening,mon,M004_ON,0 days 00:00:01.000013,7,0,1777,1926,1,Read,['Read'],17,2
16,74932,2009-11-30 19:19:24.000051,M004,OFF,,,2009-11-30 19:19:24.000051,,['Read'],1,Read,Read,str,False,Relax,"[1777, 1926]",2009-11-30,19,evening,mon,M004_OFF,0 days 00:00:04.999958,7,0,1777,1926,1,Read,['Read'],17,2
17,74933,2009-11-30 19:19:25.000070,M004,ON,,,2009-11-30 19:19:25.000070,,['Read'],1,Read,Read,str,False,Relax,"[1777, 1926]",2009-11-30,19,evening,mon,M004_ON,0 days 00:00:01.000019,7,0,1777,1926,1,Read,['Read'],17,2
18,74934,2009-11-30 19:19:28.000028,M004,OFF,,,2009-11-30 19:19:28.000028,,['Read'],1,Read,Read,str,False,Relax,"[1777, 1926]",2009-11-30,19,evening,mon,M004_OFF,0 days 00:00:02.999958,7,0,1777,1926,1,Read,['Read'],17,2
19,74935,2009-11-30 19:23:24.000082,M004,ON,,,2009-11-30 19:23:24.000082,,['Read'],1,Read,Read,str,False,Relax,"[1777, 1926]",2009-11-30,19,evening,mon,M004_ON,0 days 00:03:56.000054,7,0,1777,1926,1,Read,['Read'],17,2
20,74936,2009-11-30 19:23:36.000068,M004,OFF,,,2009-11-30 19:23:36.000068,,['Read'],1,Read,Read,str,False,Relax,"[1777, 1926]",2009-11-30,19,evening,mon,M004_OFF,0 days 00:00:11.999986,7,0,1777,1926,1,Read,['Read'],17,2
