time,original_idx,date,sensor,state,activity,marker,datetime,activity_full,activity_list,num_activities,activity_list_str,first_activity,sensor_data_type,is_numeric,first_activity_l2,sensor_location,date_col,hour,part_of_day,dow,sensor_reading,time_delta,daily_subgroup,bucket_number,x,y,value,label_first,label_list,cluster_id,cluster_sample_id
1,200554,2009-12-19 12:24:14.000028,M015,OFF,,,2009-12-19 12:24:14.000028,,['Kitchen_Activity'],1,Kitchen_Activity,Kitchen_Activity,str,False,Cook,"[999, 493]",2009-12-19,12,afternoon,sat,M015_OFF,0 days 00:00:00.000002,4,0,999,493,1,Kitchen_Activity,['Kitchen_Activity'],13,4
2,200555,2009-12-19 12:24:16.000049,M023,ON,,,2009-12-19 12:24:16.000049,,['Kitchen_Activity'],1,Kitchen_Activity,Kitchen_Activity,str,False,Cook,"[1223, 370]",2009-12-19,12,afternoon,sat,M023_ON,0 days 00:00:02.000021,4,0,1223,370,1,Kitchen_Activity,['Kitchen_Activity'],13,4
3,200556,2009-12-19 12:24:19.000092,M015,ON,,,2009-12-19 12:24:19.000092,,['Kitchen_Activity'],1,Kitchen_Activity,Kitchen_Activity,str,False,Cook,"[999, 493]",2009-12-19,12,afternoon,sat,M015_ON,0 days 00:00:03.000043,4,0,999,493,1,Kitchen_Activity,['Kitchen_Activity'],13,4
4,200557,2009-12-19 12:24:19.000093,M014,ON,,,2009-12-19 12:24:19.000093,,['Kitchen_Activity'],1,Kitchen_Activity,Kitchen_Activity,str,False,Cook,"[992, 238]",2009-12-19,12,afternoon,sat,M014_ON,0 days 00:00:00.000001,4,0,992,238,1,Kitchen_Activity,['Kitchen_Activity'],13,4
5,200558,2009-12-19 12:24:27.000055,M014,OFF,,,2009-12-19 12:24:27.000055,,['Kitchen_Activity'],1,Kitchen_Activity,Kitchen_Activity,str,False,Cook,"[992, 238]",2009-12-19,12,afternoon,sat,M014_OFF,0 days 00:00:07.999962,4,0,992,238,1,Kitchen_Activity,['Kitchen_Activity'],13,4
6,200559,2009-12-19 12:24:29.000003,M014,ON,,,2009-12-19 12:24:29.000003,,['Kitchen_Activity'],1,Kitchen_Activity,Kitchen_Activity,str,False,Cook,"[992, 238]",2009-12-19,12,afternoon,sat,M014_ON,0 days 00:00:01.999948,4,0,992,238,1,Kitchen_Activity,['Kitchen_Activity'],13,4
7,200560,2009-12-19 12:24:31.000052,M023,OFF,,,2009-12-19 12:24:31.000052,,['Kitchen_Activity'],1,Kitchen_Activity,Kitchen_Activity,str,False,Cook,"[1223, 370]",2009-12-19,12,afternoon,sat,M023_OFF,0 days 00:00:02.000049,4,0,1223,370,1,Kitchen_Activity,['Kitchen_Activity'],13,4
8,200561,2009-12-19 12:24:32.000065,M023,ON,,,2009-12-19 12:24:32.000065,,['Kitchen_Activity'],1,Kitchen_Activity,Kitchen_Activity,str,False,Cook,"[1223, 370]",2009-12-19,12,afternoon,sat,M023_ON,0 days 00:00:01.000013,4,0,1223,370,1,Kitchen_Activity,['Kitchen_Activity'],13,4
9,200562,2009-12-19 12:24:33.000078,M015,OFF,,,2009-12-19 12:24:33.000078,,['Kitchen_Activity'],1,Kitchen_Activity,Kitchen_Activity,str,False,Cook,"[999, 493]",2009-12-19,12,afternoon,sat,M015_OFF,0 days 00:00:01.000013,4,0,999,493,1,Kitchen_Activity,['Kitchen_Activity'],13,4
10,200563,2009-12-19 12:24:38.000065,M015,ON,,,2009-12-19 12:24:38.000065,,['Kitchen_Activity'],1,Kitchen_Activity,Kitchen_Activity,str,False,Cook,"[999, 493]",2009-12-19,12,afternoon,sat,M015_ON,0 days 00:00:04.999987,4,0,999,493,1,Kitchen_Activity,['Kitchen_Activity'],13,4
