time,original_idx,date,sensor,state,activity,marker,datetime,activity_full,activity_list,num_activities,activity_list_str,first_activity,sensor_data_type,is_numeric,first_activity_l2,sensor_location,date_col,hour,part_of_day,dow,sensor_reading,time_delta,daily_subgroup,bucket_number,x,y,value,label_first,label_list,cluster_id,cluster_sample_id
1,27618,2009-11-22 18:43:58.000057,M015,OFF,,,2009-11-22 18:43:58.000057,,[],0,,no_activity,str,False,No_Activity,"[999, 493]",2009-11-22,18,evening,sun,M015_OFF,0 days 00:00:01.000018,6,0,999,493,1,no_activity,[],16,0
2,27619,2009-11-22 18:43:59.000075,M023,OFF,,,2009-11-22 18:43:59.000075,,[],0,,no_activity,str,False,No_Activity,"[1223, 370]",2009-11-22,18,evening,sun,M023_OFF,0 days 00:00:01.000018,6,0,1223,370,1,no_activity,[],16,0
3,27620,2009-11-22 18:44:03.000034,M016,ON,,,2009-11-22 18:44:03.000034,,[],0,,no_activity,str,False,No_Activity,"[1097, 673]",2009-11-22,18,evening,sun,M016_ON,0 days 00:00:03.999959,6,0,1097,673,1,no_activity,[],16,0
4,27621,2009-11-22 18:44:05.000086,M011,ON,,,2009-11-22 18:44:05.000086,,[],0,,no_activity,str,False,No_Activity,"[1318, 795]",2009-11-22,18,evening,sun,M011_ON,0 days 00:00:02.000052,6,0,1318,795,1,no_activity,[],16,0
5,27622,2009-11-22 18:44:08.000001,M016,OFF,,,2009-11-22 18:44:08.000001,,[],0,,no_activity,str,False,No_Activity,"[1097, 673]",2009-11-22,18,evening,sun,M016_OFF,0 days 00:00:02.999915,6,0,1097,673,1,no_activity,[],16,0
6,27623,2009-11-22 18:44:08.000046,M010,ON,,,2009-11-22 18:44:08.000046,,[],0,,no_activity,str,False,No_Activity,"[1525, 795]",2009-11-22,18,evening,sun,M010_ON,0 days 00:00:00.000045,6,0,1525,795,1,no_activity,[],16,0
7,27624,2009-11-22 18:44:08.000091,M027,ON,,,2009-11-22 18:44:08.000091,,[],0,,no_activity,str,False,No_Activity,"[2022, 1125]",2009-11-22,18,evening,sun,M027_ON,0 days 00:00:00.000045,6,0,2022,1125,1,no_activity,[],16,0
8,27625,2009-11-22 18:44:10.000038,M011,OFF,,,2009-11-22 18:44:10.000038,,[],0,,no_activity,str,False,No_Activity,"[1318, 795]",2009-11-22,18,evening,sun,M011_OFF,0 days 00:00:01.999947,6,0,1318,795,1,no_activity,[],16,0
9,27626,2009-11-22 18:44:11.000017,M003,ON,,,2009-11-22 18:44:11.000017,,[],0,,no_activity,str,False,No_Activity,"[1957, 394]",2009-11-22,18,evening,sun,M003_ON,0 days 00:00:00.999979,6,0,1957,394,1,no_activity,[],16,0
10,27627,2009-11-22 18:44:11.000096,M010,OFF,,,2009-11-22 18:44:11.000096,,[],0,,no_activity,str,False,No_Activity,"[1525, 795]",2009-11-22,18,evening,sun,M010_OFF,0 days 00:00:00.000079,6,0,1525,795,1,no_activity,[],16,0
11,27628,2009-11-22 18:44:21.000032,M027,OFF,,,2009-11-22 18:44:21.000032,,[],0,,no_activity,str,False,No_Activity,"[2022, 1125]",2009-11-22,18,evening,sun,M027_OFF,0 days 00:00:09.999936,6,0,2022,1125,1,no_activity,[],16,0
12,27629,2009-11-22 18:44:22.000015,M003,OFF,,,2009-11-22 18:44:22.000015,,[],0,,no_activity,str,False,No_Activity,"[1957, 394]",2009-11-22,18,evening,sun,M003_OFF,0 days 00:00:00.999983,6,0,1957,394,1,no_activity,[],16,0
13,27630,2009-11-22 18:44:48.000007,M003,ON,,,2009-11-22 18:44:48.000007,,[],0,,no_activity,str,False,No_Activity,"[1957, 394]",2009-11-22,18,evening,sun,M003_ON,0 days 00:00:25.999992,6,0,1957,394,1,no_activity,[],16,0
14,27631,2009-11-22 18:44:57.000046,M003,OFF,,,2009-11-22 18:44:57.000046,,[],0,,no_activity,str,False,No_Activity,"[1957, 394]",2009-11-22,18,evening,sun,M003_OFF,0 days 00:00:09.000039,6,0,1957,394,1,no_activity,[],16,0
15,27632,2009-11-22 18:44:57.000095,M003,ON,,,2009-11-22 18:44:57.000095,,[],0,,no_activity,str,False,No_Activity,"[1957, 394]",2009-11-22,18,evening,sun,M003_ON,0 days 00:00:00.000049,6,0,1957,394,1,no_activity,[],16,0
16,27633,2009-11-22 18:44:59.000048,M003,OFF,,,2009-11-22 18:44:59.000048,,[],0,,no_activity,str,False,No_Activity,"[1957, 394]",2009-11-22,18,evening,sun,M003_OFF,0 days 00:00:01.999953,6,0,1957,394,1,no_activity,[],16,0
17,27634,2009-11-22 18:45:00.000033,M003,ON,,,2009-11-22 18:45:00.000033,,[],0,,no_activity,str,False,No_Activity,"[1957, 394]",2009-11-22,18,evening,sun,M003_ON,0 days 00:00:00.999985,6,0,1957,394,1,no_activity,[],16,0
18,27635,2009-11-22 18:45:02.000020,M027,ON,,,2009-11-22 18:45:02.000020,,[],0,,no_activity,str,False,No_Activity,"[2022, 1125]",2009-11-22,18,evening,sun,M027_ON,0 days 00:00:01.999987,6,0,2022,1125,1,no_activity,[],16,0
19,27636,2009-11-22 18:45:09.000086,M012,ON,,,2009-11-22 18:45:09.000086,,[],0,,no_activity,str,False,No_Activity,"[1570, 401]",2009-11-22,18,evening,sun,M012_ON,0 days 00:00:07.000066,6,0,1570,401,1,no_activity,[],16,0
20,27637,2009-11-22 18:45:10.000065,M023,ON,,,2009-11-22 18:45:10.000065,,[],0,,no_activity,str,False,No_Activity,"[1223, 370]",2009-11-22,18,evening,sun,M023_ON,0 days 00:00:00.999979,6,0,1223,370,1,no_activity,[],16,0
